offre_id,dossier_id,fichier_source,nom_repreneur,forme_juridique_repreneur,capital_repreneur,rcs_repreneur,adresse_repreneur,dirigeant_repreneur,groupe_appartenance,type_offre,date_offre,societe_cessionnaire,prix_total_eur,prix_incorporels_eur,prix_corporels_eur,emplois_repris,perimetre_actifs,exclusions,conditions_suspensives,mode_financement,ca_repreneur_eur,resultat_exploitation_repreneur_eur,resultat_net_repreneur_eur,total_actif_eur,capitaux_propres_eur,validite_offre,avocat_repreneur,notes
DANTON-01,DANTON,04_SCI_DANTON_-_LILAS_offre1.pdf,HOUSEBASE — HORS PÉRIMÈTRE DANTON,SAS,49780,908068331,"20 Quai Duguay-Trouin, 35000 Rennes",Philippe ZERR,,Hors périmètre DANTON,2026-02-09,HOUSEBASE,,,,,"Cette offre cible SNC ADONIA (immeuble 30 rue Étienne Dolet 94230 Cachan, 501 600€), pas SCI DANTON-LILAS. PDF mal classé.",,,,,,,,,,,Doublon physique du PDF retrouvé aussi dans le dossier SCI INSULA. À documenter dans CSV de SNC ADONIA.
DANTON-02,DANTON,04_SCI_DANTON_-_LILAS_offre2.pdf,INDÉTERMINÉ — PDF scanné illisible,,,,,,,,,,,,,,,,,,,,,,,,,"PDF scanné, OCR à effectuer pour analyse."
DANTON-03,DANTON,04_SCI_DANTON_-_LILAS_offre3.pdf,CORTONA FRANCE,EURL/SARL,7622.45,432340222,"7 rue Lincoln, 75008 Paris",Alexandre MOLIMARD,"Filiale du groupe CORTONA (Philip de Haseth-Möller, créé 1985, France/Pays-Bas)",Offre initiale (sous CS),2026-01-09,CORTONA FRANCE (avec faculté de substitution),,,,,Asset deal sur le portefeuille Foncière Melot Gouband — 27 biens (dont SCI DANTON-LILAS). DANTON listé : 'Danton LE PRE SAINT-GERVAIS / commerce / Pro 303 m² / copro 7 5 910',,Plusieurs CS — texte complet à analyser,,,,,,,,,Offre globale CORTONA pour 27 biens du portefeuille Melot/Gouband. Prix individualisé pour DANTON non extrait du PDF.
DANTON-04,DANTON,04_SCI_DANTON_-_LILAS_offre4.pdf,MUVICO (Victor COHEN),,,,"198 Avenue Victor Hugo, 75116 Paris",Victor COHEN,Groupe foncier patrimonial,Offre initiale,2026-02-09,MUVICO,520000,,520000,,Offre globale Foncière Melot Gouband / Affaire Balthazar — portion DANTON LILAS : 520 000€. Fait partie du panier multi-SCI (cf CSV INSULA pour liste complète).,,,,,,,,,,,"Offre globale multi-SCI MUVICO du 09/02/2026. Améliorée par DANTON-05 (555k€, +35k)."
DANTON-05,DANTON,04_SCI_DANTON_-_LILAS_offre5.pdf,MUVICO (Victor COHEN),,,,"198 Avenue Victor Hugo, 75116 Paris",Victor COHEN,Groupe foncier patrimonial,Offre améliorée,2026-03-02,MUVICO,555000,,555000,,Offre globale améliorée Foncière Melot Gouband — portion DANTON LILAS : 555 000€ (vs 520k initiale).,,,,,,,,,,,Améliore DANTON-04 (+35 000€). Hausse globale du portefeuille pour la plupart des SCI.
DANTON-06,DANTON,04_SCI_DANTON_-_LILAS_offre6.pdf,VERDOSO SAS,SAS,,,,,,Offre globale plan de cession,2026-03-02,VERDOSO SAS,,,,,Plan de cession global 26 entités (cf CSV INSULA). DANTON-LILAS inclus.,,À détailler,,,,,,,,,Docusign EBE6E276. Prix individualisé DANTON non extrait — PDF à retraiter.
DANTON-07,DANTON,04_SCI_DANTON_-_LILAS_offre7.pdf,Groupe JADO (Alexandre-Igor + Stéphane ROIG),,,,,"Alexandre-Igor (aiq@groupejado.com) ; Stéphane ROIG (PARTNER CONSULTANCY SERVICES FRANCE, stephane.r@partnercsgroup.com)",Groupe JADO + PARTNER CONSULTANCY SERVICES FRANCE,Offre de reprise (Balthazar VMoncey),2026-02-09,,,,,,Offre Balthazar VMoncey — portefeuille FMG. 23 pages dans le doc d'origine.,,,,,,,,,,"Maître Augustin LACCOURS — MONCEY AVOCATS, 6 rue Léo Délibes 75116 Paris (alaccours@monceyavocats.com)",Le PDF semble être le certificat Docusign uniquement (F0153B8A). Le document substantiel d'offre (23 pages) n'est pas extrait du PDF certificat. À rechercher le doc original.
DANTON-08,DANTON,04_SCI_DANTON_-_LILAS_offre8.pdf,LABRAX INVEST,,,,,,,Offre finale,2026-03-02,LABRAX INVEST,21000000,,21000000,,Portefeuille global Melot/Gouband 26 entités + appartement Paris 16e. DANTON-LILAS inclus dans le forfait.,,Sous garanties ordinaires et usuelles,,,,,,,,,"Offre 'finale, ferme et indivisible' 21M€ pour le portefeuille global. DANTON est inclus mais sans prix individualisé."
DANTON-09,DANTON,04_SCI_DANTON_-_LILAS_offre9.pdf,Offre globale multi-entités (à identifier),,,,,,,Offre globale plan de cession,,,,,,,"Procédure RJ multi-sociétés : SCCV 121 HENRI GINOUX, SCI ADELE ET FIRMIN, SCI AMIRAL MAIGRET, SCI ARCUEIL MONTREUIL, SCI DANTON-LILAS (RCS Paris 492 273 669), SCI FS & Cie...",,,,,,,,,,,Docusign D2E8DBF3 (différent de DANTON-06 EBE6E276 et DANTON-07 F0153B8A). Identité du candidat à confirmer dans le détail du PDF.
DANTON-10,DANTON,04_SCI_DANTON_-_LILAS_offre10.pdf,AEB INVEST,,2000,951815414,"10 Rue de Civry, 75016 Paris",,AEB INVEST agit pour le compte d'un acquéreur (substitution filiale possible). Activité : prises de participation immobilier France/étranger,Proposition indicative,,AEB INVEST (avec faculté de substitution filiale),720000,,720000,,"Locaux à destination d'habitation et de commerce, 303 m² au 2 rue Danton, 93310 Le Pré-Saint-Gervais.",,Due diligences (ajustement possible si infos inexactes/erronées). Coûts de débouclage de sûreté inclus dans le prix.,,,,,,,,,Plus haute offre dédiée DANTON (720k€). Émoluments notaire et droits de mutation à charge de l'Acquéreur. Tous dépôts de garantie inclus.
