offre_id,dossier_id,fichier_source,nom_repreneur,forme_juridique_repreneur,capital_repreneur,rcs_repreneur,adresse_repreneur,dirigeant_repreneur,groupe_appartenance,type_offre,date_offre,societe_cessionnaire,prix_total_eur,prix_incorporels_eur,prix_corporels_eur,emplois_repris,perimetre_actifs,exclusions,conditions_suspensives,mode_financement,ca_repreneur_eur,resultat_exploitation_repreneur_eur,resultat_net_repreneur_eur,total_actif_eur,capitaux_propres_eur,validite_offre,avocat_repreneur,notes
ADONIA-01,ADONIA,05_SNC_ADONIA_offre1.pdf,IMMOBAIL,SAS,200000,449499722,"74 rue Grande, 77300 Fontainebleau (RCS Melun)",Jean-Pierre TULLE,"Société de gestion locative (25 ans), spécialisée locaux d'activités et commerciaux Sud Île-de-France. Filiale SCI ARTU (Fontainebleau, RCS sirene 84794072300012)",Offre initiale,2026-02,IMMOBAIL,500000,,500000,,"SNC ADONIA — 500 000€. Offre couvrant aussi : SCI OKABE (1 500 000€), SCI ATELIER URBAIN (750 000€ ou parts 100 000€), SCI JEAN RENAUDIE (500 000€ ou parts 30 000€), SCI DANTON LILAS (750 000€)",,Aucune condition suspensive de financement,"Fonds propres - bénéfice 2024 1.2M€, prévisionnel 3.4M€ 2025. Filiale SCI ARTU bénéfice 950k€ 2025",,,,,,2026-04-30,,"Stratégie 'gestion bon père de famille' - portefeuille locatif. À reporter dans CSVs OKABE, ATELIER URBAIN, JEAN RENAUDIE, DANTON LILAS."
ADONIA-02,ADONIA,05_SNC_ADONIA_offre2.pdf,HOUSEBASE,SAS,49780,908068331,"20 Quai Duguay-Trouin, 35000 Rennes",Philippe ZERR (DG),,Offre initiale,2026-02-09,HOUSEBASE (avec faculté de substitution),501600,,501600,,"Immeuble situé au 30 rue Étienne Dolet, 94230 Cachan",,"Aucune (offre ferme et irrévocable, sans CS de financement)",Fonds propres et comptes courants d'associés - paiement comptant à la signature,,,,,,Jusqu'à la décision du Tribunal,,"Offre dédiée HOUSEBASE 501 600€ tenant compte des diligences techniques (réfection toiture champignons, traitement façade fissures, écart de surface). HOUSEBASE se porte fort de l'exécution par toute société substituée."
ADONIA-03,ADONIA,05_SNC_ADONIA_offre3.pdf,Groupe LALEYE,Groupe familial,,,,"Alidou LALEYE (Dirigeant - Univ. Paris Dauphine), Brian LALEYE (Associé - ESCP Europe)","Marchand de biens et gestionnaire d'actifs immobiliers depuis 30 ans, ~3M€ de patrimoine valorisé, 30 locataires actuels, partenaires bancaires Banque BCP et Caixa",Proposition reprise actifs isolés,2026,,,,,,Reprise d'actifs immobiliers isolés du portefeuille - logements et commerces principalement Île-de-France,,Aucune condition suspensive de financement,"Fonds propres + partenariats bancaires (BCP, Caixa)",,,,,,,,Annexes : liste 11 dernières adjudications + cartographie sociétés du groupe + patrimoine. Prix précis non extrait du début du PDF.
ADONIA-04,ADONIA,05_SNC_ADONIA_offre4.pdf,INDÉTERMINÉ — PDF scanné illisible,,,,,,,,,,,,,,,,,,,,,,,,,"PDF scanné, OCR à effectuer."
ADONIA-05,ADONIA,05_SNC_ADONIA_offre5.pdf,CORTONA FRANCE,EURL/SARL,7622.45,432340222,"7 rue Lincoln, 75008 Paris",Alexandre MOLIMARD,"Filiale du groupe CORTONA (Philip de Haseth-Möller, créé 1985)",Offre initiale (sous CS),2026-01-09,CORTONA FRANCE (avec faculté de substitution),,,,,Asset deal portefeuille FMG - 27 biens,,,,,,,,,,,Offre globale CORTONA FRANCE pour 27 biens du portefeuille Melot/Gouband. Prix individualisé non extrait du PDF.
ADONIA-06,ADONIA,05_SNC_ADONIA_offre6.pdf,MUVICO (Victor COHEN),,,,"198 Avenue Victor Hugo, 75116 Paris",Victor COHEN,Groupe foncier patrimonial,Offre initiale,2026-02-09,MUVICO,520000,,520000,,Offre globale Foncière Melot Gouband — portion ADONIA : 520 000€,,,,,,,,,,,Offre globale multi-SCI MUVICO du 2026-02-09. Voir CSV INSULA pour liste complète des entités du portefeuille avec prix individualisés.
ADONIA-07,ADONIA,05_SNC_ADONIA_offre7.pdf,MUVICO (Victor COHEN),,,,"198 Avenue Victor Hugo, 75116 Paris",Victor COHEN,Groupe foncier patrimonial,Offre améliorée,2026-03-02,MUVICO,520000,,520000,,Offre globale Foncière Melot Gouband — portion ADONIA : 520 000€,,,,,,,,,,,Offre globale multi-SCI MUVICO du 2026-03-02 (vs 520000€ initiale). Voir CSV INSULA pour liste complète des entités du portefeuille avec prix individualisés.
ADONIA-08,ADONIA,05_SNC_ADONIA_offre8.pdf,VERDOSO SAS,SAS,,,,,,Offre globale plan de cession,2026-03-02,VERDOSO SAS,,,,,Plan de cession global 26 entités FHBX,,,,,,,,,,,Docusign EBE6E276. Prix individualisé non extrait.
ADONIA-09,ADONIA,05_SNC_ADONIA_offre9.pdf,Offre globale multi-entités (à identifier),,,,,,,Offre globale plan de cession,2026-03-02,,,,,,Procédure RJ multi-sociétés. ADONIA RCS Nanterre 538 328 295.,,,,,,,,,,,Docusign D2E8DBF3. Identité du candidat à confirmer.
ADONIA-10,ADONIA,05_SNC_ADONIA_offre10.pdf,AEB INVEST,,2000,951815414,"10 Rue de Civry, 75016 Paris",,Prises de participation immobilier France/étranger,Proposition indicative,,AEB INVEST (avec faculté de substitution filiale),650000,,650000,,"Locaux à destination d'habitation 253 m² au 30 rue Étienne Dolet, 94230 Cachan",,Due diligences (ajustement possible si infos inexactes). Coûts débouclage sûreté inclus.,,,,,,,,,Offre dédiée AEB INVEST pour cet actif.
