offre_id,dossier_id,fichier_source,nom_repreneur,forme_juridique_repreneur,capital_repreneur,rcs_repreneur,adresse_repreneur,dirigeant_repreneur,groupe_appartenance,type_offre,date_offre,societe_cessionnaire,prix_total_eur,prix_incorporels_eur,prix_corporels_eur,emplois_repris,perimetre_actifs,exclusions,conditions_suspensives,mode_financement,ca_repreneur_eur,resultat_exploitation_repreneur_eur,resultat_net_repreneur_eur,total_actif_eur,capitaux_propres_eur,validite_offre,avocat_repreneur,notes
ARCUEIL_MONTREUIL-01,ARCUEIL_MONTREUIL,08_SCI_ARCUEIL_MONTREUIL_offre1.pdf,HOUSEBASE — HORS PÉRIMÈTRE (cible SNC ADONIA),SAS,49780,908068331,"20 Quai Duguay-Trouin, 35000 Rennes",Philippe ZERR,,Hors périmètre,2026-02-09,HOUSEBASE,,,,,"Cette offre cible SNC ADONIA (immeuble 30 rue Étienne Dolet 94230 Cachan, 501 600€), pas la présente entité.",,,,,,,,,,,PDF mal classé (doublon physique). Voir CSV de SNC ADONIA pour traitement principal.
ARCUEIL_MONTREUIL-02,ARCUEIL_MONTREUIL,08_SCI_ARCUEIL_MONTREUIL_offre10.pdf,LABRAX INVEST,,,,,,,Offre finale,2026-03-02,LABRAX INVEST,21000000,,21000000,,"Portefeuille global Melot/Gouband 26 entités + appartement Paris 16e (lot 35, 54-56 av. Théophile Gautier)",,Sous garanties ordinaires et usuelles,,,,,,,,,"Offre 'finale, ferme et indivisible' 21M€ pour le portefeuille global. Réitère/complète l'offre initiale du 09/02/2026."
ARCUEIL_MONTREUIL-03,ARCUEIL_MONTREUIL,08_SCI_ARCUEIL_MONTREUIL_offre11.pdf,Groupe JADO (Alexandre-Igor + Stéphane ROIG),,,,,Alexandre-Igor (groupejado.com) ; Stéphane ROIG (PARTNER CONSULTANCY SERVICES FRANCE),Groupe JADO + PARTNER CONSULTANCY SERVICES FRANCE,Offre Balthazar VMoncey,2026-02-09,,,,,,,,,,,,,,,,"Maître Augustin LACCOURS — MONCEY AVOCATS, 6 rue Léo Délibes 75116 Paris",Offre Groupe JADO via cabinet Moncey. Détails du PDF (23 pages) à retraiter pour prix individualisés.
ARCUEIL_MONTREUIL-04,ARCUEIL_MONTREUIL,08_SCI_ARCUEIL_MONTREUIL_offre12.pdf,HOUSEBASE,SAS,49780,908068331,"20 Quai Duguay-Trouin, 35000 Rennes",Philippe ZERR (DG),,Offre dédiée,,,,,,,,,,,,,,,,,,Offre HOUSEBASE — détails à préciser.
ARCUEIL_MONTREUIL-05,ARCUEIL_MONTREUIL,08_SCI_ARCUEIL_MONTREUIL_offre2.pdf,MUVICO (Victor COHEN),,,,"198 Avenue Victor Hugo, 75116 Paris",Victor COHEN,Groupe foncier patrimonial,Offre globale (initiale ou améliorée — PDF >5MB non extrait),2026-02-09 ou 2026-03-02,MUVICO,,,280000,,Offre globale Foncière Melot Gouband (multi-SCI). Portion SCI ARCUEIL MONTREUIL : 280000€ (initiale) ou 290000€ (améliorée). Voir CSV INSULA pour table complète.,,,,,,,,,,,PDF non extrait (>5MB). Prix issu de la table de référence MUVICO. Initiale 09/02/2026 = 280000€ ; Améliorée 02/03/2026 = 290000€.
ARCUEIL_MONTREUIL-06,ARCUEIL_MONTREUIL,08_SCI_ARCUEIL_MONTREUIL_offre3.pdf,MUVICO (Victor COHEN),,,,"198 Avenue Victor Hugo, 75116 Paris",Victor COHEN,Groupe foncier patrimonial,Offre globale (initiale ou améliorée — PDF >5MB non extrait),2026-02-09 ou 2026-03-02,MUVICO,,,280000,,Offre globale Foncière Melot Gouband (multi-SCI). Portion SCI ARCUEIL MONTREUIL : 280000€ (initiale) ou 290000€ (améliorée). Voir CSV INSULA pour table complète.,,,,,,,,,,,PDF non extrait (>5MB). Prix issu de la table de référence MUVICO. Initiale 09/02/2026 = 280000€ ; Améliorée 02/03/2026 = 290000€.
ARCUEIL_MONTREUIL-07,ARCUEIL_MONTREUIL,08_SCI_ARCUEIL_MONTREUIL_offre4.pdf,À identifier,,,,,,,,,,,,,,,,,,,,,,,,,Type non reconnu: UNKNOWN
ARCUEIL_MONTREUIL-08,ARCUEIL_MONTREUIL,08_SCI_ARCUEIL_MONTREUIL_offre5.pdf,MUVICO (Victor COHEN),,,,"198 Avenue Victor Hugo, 75116 Paris",Victor COHEN,Groupe foncier patrimonial,Offre globale (initiale ou améliorée — PDF >5MB non extrait),2026-02-09 ou 2026-03-02,MUVICO,,,280000,,Offre globale Foncière Melot Gouband (multi-SCI). Portion SCI ARCUEIL MONTREUIL : 280000€ (initiale) ou 290000€ (améliorée). Voir CSV INSULA pour table complète.,,,,,,,,,,,PDF non extrait (>5MB). Prix issu de la table de référence MUVICO. Initiale 09/02/2026 = 280000€ ; Améliorée 02/03/2026 = 290000€.
ARCUEIL_MONTREUIL-09,ARCUEIL_MONTREUIL,08_SCI_ARCUEIL_MONTREUIL_offre6.pdf,MUVICO (Victor COHEN),,,,"198 Avenue Victor Hugo, 75116 Paris",Victor COHEN,Groupe foncier patrimonial,Offre globale (initiale ou améliorée — PDF >5MB non extrait),2026-02-09 ou 2026-03-02,MUVICO,,,280000,,Offre globale Foncière Melot Gouband (multi-SCI). Portion SCI ARCUEIL MONTREUIL : 280000€ (initiale) ou 290000€ (améliorée). Voir CSV INSULA pour table complète.,,,,,,,,,,,PDF non extrait (>5MB). Prix issu de la table de référence MUVICO. Initiale 09/02/2026 = 280000€ ; Améliorée 02/03/2026 = 290000€.
ARCUEIL_MONTREUIL-10,ARCUEIL_MONTREUIL,08_SCI_ARCUEIL_MONTREUIL_offre7.pdf,MUVICO (Victor COHEN),,,,"198 Avenue Victor Hugo, 75116 Paris",Victor COHEN,Groupe foncier patrimonial,Offre globale (initiale ou améliorée — PDF >5MB non extrait),2026-02-09 ou 2026-03-02,MUVICO,,,280000,,Offre globale Foncière Melot Gouband (multi-SCI). Portion SCI ARCUEIL MONTREUIL : 280000€ (initiale) ou 290000€ (améliorée). Voir CSV INSULA pour table complète.,,,,,,,,,,,PDF non extrait (>5MB). Prix issu de la table de référence MUVICO. Initiale 09/02/2026 = 280000€ ; Améliorée 02/03/2026 = 290000€.
