offre_id,dossier_id,fichier_source,nom_repreneur,forme_juridique_repreneur,capital_repreneur,rcs_repreneur,adresse_repreneur,dirigeant_repreneur,groupe_appartenance,type_offre,date_offre,societe_cessionnaire,prix_total_eur,prix_incorporels_eur,prix_corporels_eur,emplois_repris,perimetre_actifs,exclusions,conditions_suspensives,mode_financement,ca_repreneur_eur,resultat_exploitation_repreneur_eur,resultat_net_repreneur_eur,total_actif_eur,capitaux_propres_eur,validite_offre,avocat_repreneur,notes
ATELIER_MONTREUIL-01,ATELIER_MONTREUIL,11_SCI_L_ATELIER_DE_MONTREUIL_offre1.pdf,HOUSEBASE — HORS PÉRIMÈTRE (cible SNC ADONIA),SAS,49780,908068331,"20 Quai Duguay-Trouin, 35000 Rennes",Philippe ZERR,,Hors périmètre,2026-02-09,HOUSEBASE,,,,,"Cette offre cible SNC ADONIA (immeuble 30 rue Étienne Dolet 94230 Cachan, 501 600€), pas la présente entité.",,,,,,,,,,,PDF mal classé (doublon physique). Voir CSV de SNC ADONIA pour traitement principal.
ATELIER_MONTREUIL-02,ATELIER_MONTREUIL,11_SCI_L_ATELIER_DE_MONTREUIL_offre10.pdf,LABRAX INVEST,,,,,,,Offre finale,2026-03-02,LABRAX INVEST,21000000,,21000000,,"Portefeuille global Melot/Gouband 26 entités + appartement Paris 16e (lot 35, 54-56 av. Théophile Gautier)",,Sous garanties ordinaires et usuelles,,,,,,,,,"Offre 'finale, ferme et indivisible' 21M€ pour le portefeuille global. Réitère/complète l'offre initiale du 09/02/2026."
ATELIER_MONTREUIL-03,ATELIER_MONTREUIL,11_SCI_L_ATELIER_DE_MONTREUIL_offre11.pdf,Groupe JADO (Alexandre-Igor + Stéphane ROIG),,,,,Alexandre-Igor (groupejado.com) ; Stéphane ROIG (PARTNER CONSULTANCY SERVICES FRANCE),Groupe JADO + PARTNER CONSULTANCY SERVICES FRANCE,Offre Balthazar VMoncey,2026-02-09,,,,,,,,,,,,,,,,"Maître Augustin LACCOURS — MONCEY AVOCATS, 6 rue Léo Délibes 75116 Paris",Offre Groupe JADO via cabinet Moncey. Détails du PDF (23 pages) à retraiter pour prix individualisés.
ATELIER_MONTREUIL-04,ATELIER_MONTREUIL,11_SCI_L_ATELIER_DE_MONTREUIL_offre12.pdf,Offre améliorative (à identifier - DDO 02/03/2026),,,,,,,Offre améliorative,2026-03-02,,,,,,Offre améliorative actifs immobiliers (asset deal sauf si plan de cession imposé),,,,,,,,,,,DDO 2 mars 2026 avant minuit. Identité candidat et prix à extraire.
ATELIER_MONTREUIL-05,ATELIER_MONTREUIL,11_SCI_L_ATELIER_DE_MONTREUIL_offre13.pdf,HOUSEBASE,SAS,49780,908068331,"20 Quai Duguay-Trouin, 35000 Rennes",Philippe ZERR (DG),,Offre dédiée,,,,,,,,,,,,,,,,,,Offre HOUSEBASE — détails à préciser.
ATELIER_MONTREUIL-06,ATELIER_MONTREUIL,11_SCI_L_ATELIER_DE_MONTREUIL_offre2.pdf,"MUVICO (probable, PDF non extrait)",,,,,,,,,,,,,,,,,,,,,,,,,PDF >5MB non extrait. Probablement offre MUVICO globale Foncière Melot Gouband.
ATELIER_MONTREUIL-07,ATELIER_MONTREUIL,11_SCI_L_ATELIER_DE_MONTREUIL_offre3.pdf,À identifier,,,,,,,,,,,,,,,,,,,,,,,,,Type non reconnu: UNKNOWN
ATELIER_MONTREUIL-08,ATELIER_MONTREUIL,11_SCI_L_ATELIER_DE_MONTREUIL_offre4.pdf,"MUVICO (probable, PDF non extrait)",,,,,,,,,,,,,,,,,,,,,,,,,PDF >5MB non extrait. Probablement offre MUVICO globale Foncière Melot Gouband.
ATELIER_MONTREUIL-09,ATELIER_MONTREUIL,11_SCI_L_ATELIER_DE_MONTREUIL_offre5.pdf,"MUVICO (probable, PDF non extrait)",,,,,,,,,,,,,,,,,,,,,,,,,PDF >5MB non extrait. Probablement offre MUVICO globale Foncière Melot Gouband.
ATELIER_MONTREUIL-10,ATELIER_MONTREUIL,11_SCI_L_ATELIER_DE_MONTREUIL_offre6.pdf,"MUVICO (probable, PDF non extrait)",,,,,,,,,,,,,,,,,,,,,,,,,PDF >5MB non extrait. Probablement offre MUVICO globale Foncière Melot Gouband.
