offre_id,dossier_id,fichier_source,nom_repreneur,forme_juridique_repreneur,capital_repreneur,rcs_repreneur,adresse_repreneur,dirigeant_repreneur,groupe_appartenance,type_offre,date_offre,societe_cessionnaire,prix_total_eur,prix_incorporels_eur,prix_corporels_eur,emplois_repris,perimetre_actifs,exclusions,conditions_suspensives,mode_financement,ca_repreneur_eur,resultat_exploitation_repreneur_eur,resultat_net_repreneur_eur,total_actif_eur,capitaux_propres_eur,validite_offre,avocat_repreneur,notes
MAUDAPHNE-01,MAUDAPHNE,12_SCI_MAUDAPHNE_offre1.pdf,À identifier,,,,,,,,,,,,,,,,,,,,,,,,,Type non reconnu: UNKNOWN
MAUDAPHNE-02,MAUDAPHNE,12_SCI_MAUDAPHNE_offre10.pdf,Groupe JADO (Alexandre-Igor + Stéphane ROIG),,,,,Alexandre-Igor (groupejado.com) ; Stéphane ROIG (PARTNER CONSULTANCY SERVICES FRANCE),Groupe JADO + PARTNER CONSULTANCY SERVICES FRANCE,Offre Balthazar VMoncey,2026-02-09,,,,,,,,,,,,,,,,"Maître Augustin LACCOURS — MONCEY AVOCATS, 6 rue Léo Délibes 75116 Paris",Offre Groupe JADO via cabinet Moncey. Détails du PDF (23 pages) à retraiter pour prix individualisés.
MAUDAPHNE-03,MAUDAPHNE,12_SCI_MAUDAPHNE_offre11.pdf,Offre améliorative (à identifier - DDO 02/03/2026),,,,,,,Offre améliorative,2026-03-02,,,,,,Offre améliorative actifs immobiliers (asset deal sauf si plan de cession imposé),,,,,,,,,,,DDO 2 mars 2026 avant minuit. Identité candidat et prix à extraire.
MAUDAPHNE-04,MAUDAPHNE,12_SCI_MAUDAPHNE_offre2.pdf,MUVICO (Victor COHEN),,,,"198 Avenue Victor Hugo, 75116 Paris",Victor COHEN,Groupe foncier patrimonial,Offre globale (initiale ou améliorée — PDF >5MB non extrait),2026-02-09 ou 2026-03-02,MUVICO,,,250000,,Offre globale Foncière Melot Gouband (multi-SCI). Portion SCI MAUDAPHNE : 250000€ (initiale) ou 250000€ (améliorée). Voir CSV INSULA pour table complète.,,,,,,,,,,,PDF non extrait (>5MB). Prix issu de la table de référence MUVICO. Initiale 09/02/2026 = 250000€ ; Améliorée 02/03/2026 = 250000€.
MAUDAPHNE-05,MAUDAPHNE,12_SCI_MAUDAPHNE_offre3.pdf,MUVICO (Victor COHEN),,,,"198 Avenue Victor Hugo, 75116 Paris",Victor COHEN,Groupe foncier patrimonial,Offre globale (initiale ou améliorée — PDF >5MB non extrait),2026-02-09 ou 2026-03-02,MUVICO,,,250000,,Offre globale Foncière Melot Gouband (multi-SCI). Portion SCI MAUDAPHNE : 250000€ (initiale) ou 250000€ (améliorée). Voir CSV INSULA pour table complète.,,,,,,,,,,,PDF non extrait (>5MB). Prix issu de la table de référence MUVICO. Initiale 09/02/2026 = 250000€ ; Améliorée 02/03/2026 = 250000€.
MAUDAPHNE-06,MAUDAPHNE,12_SCI_MAUDAPHNE_offre4.pdf,HOUSEBASE — HORS PÉRIMÈTRE (cible SNC ADONIA),SAS,49780,908068331,"20 Quai Duguay-Trouin, 35000 Rennes",Philippe ZERR,,Hors périmètre,2026-02-09,HOUSEBASE,,,,,"Cette offre cible SNC ADONIA (immeuble 30 rue Étienne Dolet 94230 Cachan, 501 600€), pas la présente entité.",,,,,,,,,,,PDF mal classé (doublon physique). Voir CSV de SNC ADONIA pour traitement principal.
MAUDAPHNE-07,MAUDAPHNE,12_SCI_MAUDAPHNE_offre5.pdf,MUVICO (Victor COHEN),,,,"198 Avenue Victor Hugo, 75116 Paris",Victor COHEN,Groupe foncier patrimonial,Offre globale (initiale ou améliorée — PDF >5MB non extrait),2026-02-09 ou 2026-03-02,MUVICO,,,250000,,Offre globale Foncière Melot Gouband (multi-SCI). Portion SCI MAUDAPHNE : 250000€ (initiale) ou 250000€ (améliorée). Voir CSV INSULA pour table complète.,,,,,,,,,,,PDF non extrait (>5MB). Prix issu de la table de référence MUVICO. Initiale 09/02/2026 = 250000€ ; Améliorée 02/03/2026 = 250000€.
MAUDAPHNE-08,MAUDAPHNE,12_SCI_MAUDAPHNE_offre6.pdf,VERDOSO SAS,SAS,,,,,,Offre globale plan de cession,2026-03-02,VERDOSO SAS,,,,,Plan de cession global 26 entités FHBX,,,,,,,,,,,Docusign CC859BA0. Prix individualisé non extrait (PDF complet à retraiter pour ventilation par entité).
MAUDAPHNE-09,MAUDAPHNE,12_SCI_MAUDAPHNE_offre7.pdf,VERDOSO SAS,SAS,,,,,,Offre globale plan de cession,2026-03-02,VERDOSO SAS,,,,,Plan de cession global 26 entités FHBX,,,,,,,,,,,Docusign EBE6E276. Prix individualisé non extrait (PDF complet à retraiter pour ventilation par entité).
MAUDAPHNE-10,MAUDAPHNE,12_SCI_MAUDAPHNE_offre8.pdf,Groupe JADO (Alexandre-Igor + Stéphane ROIG),,,,,Alexandre-Igor (groupejado.com) ; Stéphane ROIG (PARTNER CONSULTANCY SERVICES FRANCE),Groupe JADO + PARTNER CONSULTANCY SERVICES FRANCE,Offre Balthazar VMoncey,2026-02-09,,,,,,,,,,,,,,,,"Maître Augustin LACCOURS — MONCEY AVOCATS, 6 rue Léo Délibes 75116 Paris",Offre Groupe JADO via cabinet Moncey. Détails du PDF (23 pages) à retraiter pour prix individualisés.
