offre_id,dossier_id,fichier_source,nom_repreneur,forme_juridique_repreneur,capital_repreneur,rcs_repreneur,adresse_repreneur,dirigeant_repreneur,groupe_appartenance,type_offre,date_offre,societe_cessionnaire,prix_total_eur,prix_incorporels_eur,prix_corporels_eur,emplois_repris,perimetre_actifs,exclusions,conditions_suspensives,mode_financement,ca_repreneur_eur,resultat_exploitation_repreneur_eur,resultat_net_repreneur_eur,total_actif_eur,capitaux_propres_eur,validite_offre,avocat_repreneur,notes
HENRI_GINOUX-01,HENRI_GINOUX,17_SCCV_121_HENRI_GINOUX_offre1.pdf,À identifier,,,,,,,,,,,,,,,,,,,,,,,,,Type non reconnu: UNKNOWN
HENRI_GINOUX-02,HENRI_GINOUX,17_SCCV_121_HENRI_GINOUX_offre10.pdf,HOUSEBASE,SAS,49780,908068331,"20 Quai Duguay-Trouin, 35000 Rennes",Philippe ZERR (DG),,Offre dédiée,,,,,,,,,,,,,,,,,,Offre HOUSEBASE — détails à préciser.
HENRI_GINOUX-03,HENRI_GINOUX,17_SCCV_121_HENRI_GINOUX_offre11.pdf,À identifier,,,,,,,,,,,,,,,,,,,,,,,,,Type non reconnu: UNKNOWN
HENRI_GINOUX-04,HENRI_GINOUX,17_SCCV_121_HENRI_GINOUX_offre12.pdf,À identifier,,,,,,,,,,,,,,,,,,,,,,,,,Type non reconnu: UNKNOWN
HENRI_GINOUX-05,HENRI_GINOUX,17_SCCV_121_HENRI_GINOUX_offre13.pdf,AEB INVEST,,2000,951815414,"10 Rue de Civry, 75016 Paris",,Prises de participation immobilier France/étranger,Proposition indicative,2026-03,AEB INVEST (avec faculté de substitution filiale),800000,,800000,,,,Due diligences (ajustement possible si infos inexactes). Coûts débouclage sûreté inclus.,,,,,,,,,Offre AEB INVEST dédiée à cet actif. Prix net vendeur 800000€.
HENRI_GINOUX-06,HENRI_GINOUX,17_SCCV_121_HENRI_GINOUX_offre2.pdf,MUVICO (Victor COHEN),,,,"198 Avenue Victor Hugo, 75116 Paris",Victor COHEN,Groupe foncier patrimonial,Offre globale (initiale ou améliorée — PDF >5MB non extrait),2026-02-09 ou 2026-03-02,MUVICO,,,400000,,Offre globale Foncière Melot Gouband (multi-SCI). Portion SCCV HENRI GINOUX : 400000€ (initiale) ou 200000€ (améliorée). Voir CSV INSULA pour table complète.,,,,,,,,,,,PDF non extrait (>5MB). Prix issu de la table de référence MUVICO. Initiale 09/02/2026 = 400000€ ; Améliorée 02/03/2026 = 200000€.
HENRI_GINOUX-07,HENRI_GINOUX,17_SCCV_121_HENRI_GINOUX_offre3.pdf,MUVICO (Victor COHEN),,,,"198 Avenue Victor Hugo, 75116 Paris",Victor COHEN,Groupe foncier patrimonial,Offre globale (initiale ou améliorée — PDF >5MB non extrait),2026-02-09 ou 2026-03-02,MUVICO,,,400000,,Offre globale Foncière Melot Gouband (multi-SCI). Portion SCCV HENRI GINOUX : 400000€ (initiale) ou 200000€ (améliorée). Voir CSV INSULA pour table complète.,,,,,,,,,,,PDF non extrait (>5MB). Prix issu de la table de référence MUVICO. Initiale 09/02/2026 = 400000€ ; Améliorée 02/03/2026 = 200000€.
HENRI_GINOUX-08,HENRI_GINOUX,17_SCCV_121_HENRI_GINOUX_offre4.pdf,Groupe LALEYE,,,,,"Alidou LALEYE (Univ. Paris Dauphine), Brian LALEYE (ESCP Europe)","Marchand de biens et gestionnaire d'actifs immobiliers depuis 30 ans, ~3M€ patrimoine, partenaires Banque BCP et Caixa",Proposition reprise actifs isolés,2026,,,,,,,,Aucune CS de financement,Fonds propres + partenariats bancaires,,,,,,,,Annexes : 11 dernières adjudications + cartographie groupe + patrimoine. Prix précis non extrait du début du PDF.
HENRI_GINOUX-09,HENRI_GINOUX,17_SCCV_121_HENRI_GINOUX_offre5.pdf,HOUSEBASE — HORS PÉRIMÈTRE (cible SNC ADONIA),SAS,49780,908068331,"20 Quai Duguay-Trouin, 35000 Rennes",Philippe ZERR,,Hors périmètre,2026-02-09,HOUSEBASE,,,,,"Cette offre cible SNC ADONIA (immeuble 30 rue Étienne Dolet 94230 Cachan, 501 600€), pas la présente entité.",,,,,,,,,,,PDF mal classé (doublon physique). Voir CSV de SNC ADONIA pour traitement principal.
HENRI_GINOUX-10,HENRI_GINOUX,17_SCCV_121_HENRI_GINOUX_offre6.pdf,MUVICO (Victor COHEN),,,,"198 Avenue Victor Hugo, 75116 Paris",Victor COHEN,Groupe foncier patrimonial,Offre globale (initiale ou améliorée — PDF >5MB non extrait),2026-02-09 ou 2026-03-02,MUVICO,,,400000,,Offre globale Foncière Melot Gouband (multi-SCI). Portion SCCV HENRI GINOUX : 400000€ (initiale) ou 200000€ (améliorée). Voir CSV INSULA pour table complète.,,,,,,,,,,,PDF non extrait (>5MB). Prix issu de la table de référence MUVICO. Initiale 09/02/2026 = 400000€ ; Améliorée 02/03/2026 = 200000€.
HENRI_GINOUX-11,HENRI_GINOUX,17_SCCV_121_HENRI_GINOUX_offre7.pdf,VERDOSO SAS,SAS,,,,,,Offre globale plan de cession,2026-03-02,VERDOSO SAS,,,,,Plan de cession global 26 entités FHBX,,,,,,,,,,,Docusign CC859BA0. Prix individualisé non extrait (PDF complet à retraiter pour ventilation par entité).
HENRI_GINOUX-12,HENRI_GINOUX,17_SCCV_121_HENRI_GINOUX_offre8.pdf,VERDOSO SAS,SAS,,,,,,Offre globale plan de cession,2026-03-02,VERDOSO SAS,,,,,Plan de cession global 26 entités FHBX,,,,,,,,,,,Docusign EBE6E276. Prix individualisé non extrait (PDF complet à retraiter pour ventilation par entité).
HENRI_GINOUX-13,HENRI_GINOUX,17_SCCV_121_HENRI_GINOUX_offre9.pdf,Groupe JADO (Alexandre-Igor + Stéphane ROIG),,,,,Alexandre-Igor (groupejado.com) ; Stéphane ROIG (PARTNER CONSULTANCY SERVICES FRANCE),Groupe JADO + PARTNER CONSULTANCY SERVICES FRANCE,Offre Balthazar VMoncey,2026-02-09,,,,,,,,,,,,,,,,"Maître Augustin LACCOURS — MONCEY AVOCATS, 6 rue Léo Délibes 75116 Paris",Offre Groupe JADO via cabinet Moncey. Détails du PDF (23 pages) à retraiter pour prix individualisés.
