offre_id,dossier_id,fichier_source,nom_repreneur,forme_juridique_repreneur,capital_repreneur,rcs_repreneur,adresse_repreneur,dirigeant_repreneur,groupe_appartenance,type_offre,date_offre,societe_cessionnaire,prix_total_eur,prix_incorporels_eur,prix_corporels_eur,emplois_repris,perimetre_actifs,exclusions,conditions_suspensives,mode_financement,ca_repreneur_eur,resultat_exploitation_repreneur_eur,resultat_net_repreneur_eur,total_actif_eur,capitaux_propres_eur,validite_offre,avocat_repreneur,notes
MARCEL_BONNET-01,MARCEL_BONNET,20_SCI_60_RUE_MARCEL_BONNET_offre1.pdf,HOUSEBASE — HORS PÉRIMÈTRE (cible SNC ADONIA),SAS,49780,908068331,"20 Quai Duguay-Trouin, 35000 Rennes",Philippe ZERR,,Hors périmètre,2026-02-09,HOUSEBASE,,,,,"Cette offre cible SNC ADONIA (immeuble 30 rue Étienne Dolet 94230 Cachan, 501 600€), pas la présente entité.",,,,,,,,,,,PDF mal classé (doublon physique). Voir CSV de SNC ADONIA pour traitement principal.
MARCEL_BONNET-02,MARCEL_BONNET,20_SCI_60_RUE_MARCEL_BONNET_offre10.pdf,HOUSEBASE,SAS,49780,908068331,"20 Quai Duguay-Trouin, 35000 Rennes",Philippe ZERR (DG),,Offre dédiée,,,,,,,,,,,,,,,,,,Offre HOUSEBASE — détails à préciser.
MARCEL_BONNET-03,MARCEL_BONNET,20_SCI_60_RUE_MARCEL_BONNET_offre2.pdf,À identifier,,,,,,,,,,,,,,,,,,,,,,,,,Type non reconnu: UNKNOWN
MARCEL_BONNET-04,MARCEL_BONNET,20_SCI_60_RUE_MARCEL_BONNET_offre3.pdf,"MUVICO (probable, PDF non extrait)",,,,,,,,,,,,,,,,,,,,,,,,,PDF >5MB non extrait. Probablement offre MUVICO globale Foncière Melot Gouband.
MARCEL_BONNET-05,MARCEL_BONNET,20_SCI_60_RUE_MARCEL_BONNET_offre4.pdf,"MUVICO (probable, PDF non extrait)",,,,,,,,,,,,,,,,,,,,,,,,,PDF >5MB non extrait. Probablement offre MUVICO globale Foncière Melot Gouband.
MARCEL_BONNET-06,MARCEL_BONNET,20_SCI_60_RUE_MARCEL_BONNET_offre5.pdf,"MUVICO (probable, PDF non extrait)",,,,,,,,,,,,,,,,,,,,,,,,,PDF >5MB non extrait. Probablement offre MUVICO globale Foncière Melot Gouband.
MARCEL_BONNET-07,MARCEL_BONNET,20_SCI_60_RUE_MARCEL_BONNET_offre6.pdf,"MUVICO (probable, PDF non extrait)",,,,,,,,,,,,,,,,,,,,,,,,,PDF >5MB non extrait. Probablement offre MUVICO globale Foncière Melot Gouband.
MARCEL_BONNET-08,MARCEL_BONNET,20_SCI_60_RUE_MARCEL_BONNET_offre7.pdf,LABRAX INVEST,,,,,,,Offre finale,2026-03-02,LABRAX INVEST,21000000,,21000000,,"Portefeuille global Melot/Gouband 26 entités + appartement Paris 16e (lot 35, 54-56 av. Théophile Gautier)",,Sous garanties ordinaires et usuelles,,,,,,,,,"Offre 'finale, ferme et indivisible' 21M€ pour le portefeuille global. Réitère/complète l'offre initiale du 09/02/2026."
MARCEL_BONNET-09,MARCEL_BONNET,20_SCI_60_RUE_MARCEL_BONNET_offre8.pdf,Groupe JADO (Alexandre-Igor + Stéphane ROIG),,,,,Alexandre-Igor (groupejado.com) ; Stéphane ROIG (PARTNER CONSULTANCY SERVICES FRANCE),Groupe JADO + PARTNER CONSULTANCY SERVICES FRANCE,Offre Balthazar VMoncey,2026-02-09,,,,,,,,,,,,,,,,"Maître Augustin LACCOURS — MONCEY AVOCATS, 6 rue Léo Délibes 75116 Paris",Offre Groupe JADO via cabinet Moncey. Détails du PDF (23 pages) à retraiter pour prix individualisés.
MARCEL_BONNET-10,MARCEL_BONNET,20_SCI_60_RUE_MARCEL_BONNET_offre9.pdf,AEB INVEST,,2000,951815414,"10 Rue de Civry, 75016 Paris",,Prises de participation immobilier France/étranger,Proposition indicative,2026-03,AEB INVEST (avec faculté de substitution filiale),2500000,,2500000,,,,Due diligences (ajustement possible si infos inexactes). Coûts débouclage sûreté inclus.,,,,,,,,,Offre AEB INVEST dédiée à cet actif. Prix net vendeur 2500000€.
