offre_id,dossier_id,fichier_source,nom_repreneur,forme_juridique_repreneur,capital_repreneur,rcs_repreneur,adresse_repreneur,dirigeant_repreneur,groupe_appartenance,type_offre,date_offre,societe_cessionnaire,prix_total_eur,prix_incorporels_eur,prix_corporels_eur,emplois_repris,perimetre_actifs,exclusions,conditions_suspensives,mode_financement,ca_repreneur_eur,resultat_exploitation_repreneur_eur,resultat_net_repreneur_eur,total_actif_eur,capitaux_propres_eur,validite_offre,avocat_repreneur,notes
ATELIER_URBAIN-01,ATELIER_URBAIN,23_SCI_ATELIER_URBAIN_offre1.pdf,MUVICO (Victor COHEN),,,,"198 Avenue Victor Hugo, 75116 Paris",Victor COHEN,Groupe foncier patrimonial,Offre globale (initiale ou améliorée — PDF >5MB non extrait),2026-02-09 ou 2026-03-02,MUVICO,,,850000,,Offre globale Foncière Melot Gouband (multi-SCI). Portion SCI ATELIER URBAIN : 850000€ (initiale) ou 880000€ (améliorée). Voir CSV INSULA pour table complète.,,,,,,,,,,,PDF non extrait (>5MB). Prix issu de la table de référence MUVICO. Initiale 09/02/2026 = 850000€ ; Améliorée 02/03/2026 = 880000€.
ATELIER_URBAIN-02,ATELIER_URBAIN,23_SCI_ATELIER_URBAIN_offre10.pdf,Offre améliorative (à identifier - DDO 02/03/2026),,,,,,,Offre améliorative,2026-03-02,,,,,,Offre améliorative actifs immobiliers (asset deal sauf si plan de cession imposé),,,,,,,,,,,DDO 2 mars 2026 avant minuit. Identité candidat et prix à extraire.
ATELIER_URBAIN-03,ATELIER_URBAIN,23_SCI_ATELIER_URBAIN_offre11.pdf,AEB INVEST,,2000,951815414,"10 Rue de Civry, 75016 Paris",,Prises de participation immobilier France/étranger,Proposition indicative,2026-03,AEB INVEST (avec faculté de substitution filiale),1000000,,1000000,,,,Due diligences (ajustement possible si infos inexactes). Coûts débouclage sûreté inclus.,,,,,,,,,Offre AEB INVEST dédiée à cet actif. Prix net vendeur 1000000€.
ATELIER_URBAIN-04,ATELIER_URBAIN,23_SCI_ATELIER_URBAIN_offre2.pdf,HOUSEBASE — HORS PÉRIMÈTRE (cible SNC ADONIA),SAS,49780,908068331,"20 Quai Duguay-Trouin, 35000 Rennes",Philippe ZERR,,Hors périmètre,2026-02-09,HOUSEBASE,,,,,"Cette offre cible SNC ADONIA (immeuble 30 rue Étienne Dolet 94230 Cachan, 501 600€), pas la présente entité.",,,,,,,,,,,PDF mal classé (doublon physique). Voir CSV de SNC ADONIA pour traitement principal.
ATELIER_URBAIN-05,ATELIER_URBAIN,23_SCI_ATELIER_URBAIN_offre3.pdf,À identifier,,,,,,,,,,,,,,,,,,,,,,,,,Type non reconnu: UNKNOWN
ATELIER_URBAIN-06,ATELIER_URBAIN,23_SCI_ATELIER_URBAIN_offre4.pdf,MUVICO (Victor COHEN),,,,"198 Avenue Victor Hugo, 75116 Paris",Victor COHEN,Groupe foncier patrimonial,Offre globale (initiale ou améliorée — PDF >5MB non extrait),2026-02-09 ou 2026-03-02,MUVICO,,,850000,,Offre globale Foncière Melot Gouband (multi-SCI). Portion SCI ATELIER URBAIN : 850000€ (initiale) ou 880000€ (améliorée). Voir CSV INSULA pour table complète.,,,,,,,,,,,PDF non extrait (>5MB). Prix issu de la table de référence MUVICO. Initiale 09/02/2026 = 850000€ ; Améliorée 02/03/2026 = 880000€.
ATELIER_URBAIN-07,ATELIER_URBAIN,23_SCI_ATELIER_URBAIN_offre5.pdf,MUVICO (Victor COHEN),,,,"198 Avenue Victor Hugo, 75116 Paris",Victor COHEN,Groupe foncier patrimonial,Offre globale (initiale ou améliorée — PDF >5MB non extrait),2026-02-09 ou 2026-03-02,MUVICO,,,850000,,Offre globale Foncière Melot Gouband (multi-SCI). Portion SCI ATELIER URBAIN : 850000€ (initiale) ou 880000€ (améliorée). Voir CSV INSULA pour table complète.,,,,,,,,,,,PDF non extrait (>5MB). Prix issu de la table de référence MUVICO. Initiale 09/02/2026 = 850000€ ; Améliorée 02/03/2026 = 880000€.
ATELIER_URBAIN-08,ATELIER_URBAIN,23_SCI_ATELIER_URBAIN_offre6.pdf,MUVICO (Victor COHEN),,,,"198 Avenue Victor Hugo, 75116 Paris",Victor COHEN,Groupe foncier patrimonial,Offre globale (initiale ou améliorée — PDF >5MB non extrait),2026-02-09 ou 2026-03-02,MUVICO,,,850000,,Offre globale Foncière Melot Gouband (multi-SCI). Portion SCI ATELIER URBAIN : 850000€ (initiale) ou 880000€ (améliorée). Voir CSV INSULA pour table complète.,,,,,,,,,,,PDF non extrait (>5MB). Prix issu de la table de référence MUVICO. Initiale 09/02/2026 = 850000€ ; Améliorée 02/03/2026 = 880000€.
ATELIER_URBAIN-09,ATELIER_URBAIN,23_SCI_ATELIER_URBAIN_offre7.pdf,VERDOSO SAS,SAS,,,,,,Offre globale plan de cession,2026-03-02,VERDOSO SAS,,,,,Plan de cession global 26 entités FHBX,,,,,,,,,,,Docusign CC859BA0. Prix individualisé non extrait (PDF complet à retraiter pour ventilation par entité).
ATELIER_URBAIN-10,ATELIER_URBAIN,23_SCI_ATELIER_URBAIN_offre8.pdf,VERDOSO SAS,SAS,,,,,,Offre globale plan de cession,2026-03-02,VERDOSO SAS,,,,,Plan de cession global 26 entités FHBX,,,,,,,,,,,Docusign EBE6E276. Prix individualisé non extrait (PDF complet à retraiter pour ventilation par entité).
ATELIER_URBAIN-11,ATELIER_URBAIN,23_SCI_ATELIER_URBAIN_offre9.pdf,À identifier,,,,,,,,,,,,,,,,,,,,,,,,,Type non reconnu: UNKNOWN
