offre_id,dossier_id,fichier_source,nom_repreneur,forme_juridique_repreneur,capital_repreneur,rcs_repreneur,adresse_repreneur,dirigeant_repreneur,groupe_appartenance,type_offre,date_offre,societe_cessionnaire,prix_total_eur,prix_incorporels_eur,prix_corporels_eur,emplois_repris,perimetre_actifs,exclusions,conditions_suspensives,mode_financement,ca_repreneur_eur,resultat_exploitation_repreneur_eur,resultat_net_repreneur_eur,total_actif_eur,capitaux_propres_eur,validite_offre,avocat_repreneur,notes
ADELE_FIRMIN-01,ADELE_FIRMIN,30_SCI_ADELE_ET_FIRMIN_offre1.pdf,À identifier,,,,,,,,,,,,,,,,,,,,,,,,,Type non reconnu: UNKNOWN
ADELE_FIRMIN-02,ADELE_FIRMIN,30_SCI_ADELE_ET_FIRMIN_offre10.pdf,Groupe JADO (Alexandre-Igor + Stéphane ROIG),,,,,Alexandre-Igor (groupejado.com) ; Stéphane ROIG (PARTNER CONSULTANCY SERVICES FRANCE),Groupe JADO + PARTNER CONSULTANCY SERVICES FRANCE,Offre Balthazar VMoncey,2026-02-09,,,,,,,,,,,,,,,,"Maître Augustin LACCOURS — MONCEY AVOCATS, 6 rue Léo Délibes 75116 Paris",Offre Groupe JADO via cabinet Moncey. Détails du PDF (23 pages) à retraiter pour prix individualisés.
ADELE_FIRMIN-03,ADELE_FIRMIN,30_SCI_ADELE_ET_FIRMIN_offre11.pdf,LABRAX INVEST,,,,,,,Offre finale,2026-03-02,LABRAX INVEST,21000000,,21000000,,"Portefeuille global Melot/Gouband 26 entités + appartement Paris 16e (lot 35, 54-56 av. Théophile Gautier)",,Sous garanties ordinaires et usuelles,,,,,,,,,"Offre 'finale, ferme et indivisible' 21M€ pour le portefeuille global. Réitère/complète l'offre initiale du 09/02/2026."
ADELE_FIRMIN-04,ADELE_FIRMIN,30_SCI_ADELE_ET_FIRMIN_offre12.pdf,LABRAX INVEST,,,,,,,Offre finale,2026-03-02,LABRAX INVEST,21000000,,21000000,,"Portefeuille global Melot/Gouband 26 entités + appartement Paris 16e (lot 35, 54-56 av. Théophile Gautier)",,Sous garanties ordinaires et usuelles,,,,,,,,,"Offre 'finale, ferme et indivisible' 21M€ pour le portefeuille global. Réitère/complète l'offre initiale du 09/02/2026."
ADELE_FIRMIN-05,ADELE_FIRMIN,30_SCI_ADELE_ET_FIRMIN_offre13.pdf,Groupe JADO (Alexandre-Igor + Stéphane ROIG),,,,,Alexandre-Igor (groupejado.com) ; Stéphane ROIG (PARTNER CONSULTANCY SERVICES FRANCE),Groupe JADO + PARTNER CONSULTANCY SERVICES FRANCE,Offre Balthazar VMoncey,2026-02-09,,,,,,,,,,,,,,,,"Maître Augustin LACCOURS — MONCEY AVOCATS, 6 rue Léo Délibes 75116 Paris",Offre Groupe JADO via cabinet Moncey. Détails du PDF (23 pages) à retraiter pour prix individualisés.
ADELE_FIRMIN-06,ADELE_FIRMIN,30_SCI_ADELE_ET_FIRMIN_offre14.pdf,Offre améliorative (à identifier - DDO 02/03/2026),,,,,,,Offre améliorative,2026-03-02,,,,,,Offre améliorative actifs immobiliers (asset deal sauf si plan de cession imposé),,,,,,,,,,,DDO 2 mars 2026 avant minuit. Identité candidat et prix à extraire.
ADELE_FIRMIN-07,ADELE_FIRMIN,30_SCI_ADELE_ET_FIRMIN_offre15.pdf,Offre améliorative (à identifier - DDO 02/03/2026),,,,,,,Offre améliorative,2026-03-02,,,,,,Offre améliorative actifs immobiliers (asset deal sauf si plan de cession imposé),,,,,,,,,,,DDO 2 mars 2026 avant minuit. Identité candidat et prix à extraire.
ADELE_FIRMIN-08,ADELE_FIRMIN,30_SCI_ADELE_ET_FIRMIN_offre16.pdf,Offre améliorative (à identifier - DDO 02/03/2026),,,,,,,Offre améliorative,2026-03-02,,,,,,Offre améliorative actifs immobiliers (asset deal sauf si plan de cession imposé),,,,,,,,,,,DDO 2 mars 2026 avant minuit. Identité candidat et prix à extraire.
ADELE_FIRMIN-09,ADELE_FIRMIN,30_SCI_ADELE_ET_FIRMIN_offre17.pdf,AEB INVEST,,2000,951815414,"10 Rue de Civry, 75016 Paris",,Prises de participation immobilier France/étranger,Proposition indicative,2026-03,AEB INVEST (avec faculté de substitution filiale),1500000,,1500000,,,,Due diligences (ajustement possible si infos inexactes). Coûts débouclage sûreté inclus.,,,,,,,,,Offre AEB INVEST dédiée à cet actif. Prix net vendeur 1500000€.
ADELE_FIRMIN-10,ADELE_FIRMIN,30_SCI_ADELE_ET_FIRMIN_offre18.pdf,HOUSEBASE,SAS,49780,908068331,"20 Quai Duguay-Trouin, 35000 Rennes",Philippe ZERR (DG),,Offre dédiée,,,,,,,,,,,,,,,,,,Offre HOUSEBASE — détails à préciser.
ADELE_FIRMIN-11,ADELE_FIRMIN,30_SCI_ADELE_ET_FIRMIN_offre2.pdf,À identifier,,,,,,,,,,,,,,,,,,,,,,,,,Type non reconnu: UNKNOWN
ADELE_FIRMIN-12,ADELE_FIRMIN,30_SCI_ADELE_ET_FIRMIN_offre3.pdf,MUVICO (Victor COHEN),,,,"198 Avenue Victor Hugo, 75116 Paris",Victor COHEN,Groupe foncier patrimonial,Offre globale (initiale ou améliorée — PDF >5MB non extrait),2026-02-09 ou 2026-03-02,MUVICO,,,800000,,Offre globale Foncière Melot Gouband (multi-SCI). Portion SCI ADELE ET FIRMIN : 800000€ (initiale) ou 850000€ (améliorée). Voir CSV INSULA pour table complète.,,,,,,,,,,,PDF non extrait (>5MB). Prix issu de la table de référence MUVICO. Initiale 09/02/2026 = 800000€ ; Améliorée 02/03/2026 = 850000€.
ADELE_FIRMIN-13,ADELE_FIRMIN,30_SCI_ADELE_ET_FIRMIN_offre4.pdf,MUVICO (Victor COHEN),,,,"198 Avenue Victor Hugo, 75116 Paris",Victor COHEN,Groupe foncier patrimonial,Offre globale (initiale ou améliorée — PDF >5MB non extrait),2026-02-09 ou 2026-03-02,MUVICO,,,800000,,Offre globale Foncière Melot Gouband (multi-SCI). Portion SCI ADELE ET FIRMIN : 800000€ (initiale) ou 850000€ (améliorée). Voir CSV INSULA pour table complète.,,,,,,,,,,,PDF non extrait (>5MB). Prix issu de la table de référence MUVICO. Initiale 09/02/2026 = 800000€ ; Améliorée 02/03/2026 = 850000€.
ADELE_FIRMIN-14,ADELE_FIRMIN,30_SCI_ADELE_ET_FIRMIN_offre5.pdf,MUVICO (Victor COHEN),,,,"198 Avenue Victor Hugo, 75116 Paris",Victor COHEN,Groupe foncier patrimonial,Offre globale (initiale ou améliorée — PDF >5MB non extrait),2026-02-09 ou 2026-03-02,MUVICO,,,800000,,Offre globale Foncière Melot Gouband (multi-SCI). Portion SCI ADELE ET FIRMIN : 800000€ (initiale) ou 850000€ (améliorée). Voir CSV INSULA pour table complète.,,,,,,,,,,,PDF non extrait (>5MB). Prix issu de la table de référence MUVICO. Initiale 09/02/2026 = 800000€ ; Améliorée 02/03/2026 = 850000€.
ADELE_FIRMIN-15,ADELE_FIRMIN,30_SCI_ADELE_ET_FIRMIN_offre6.pdf,HOUSEBASE — HORS PÉRIMÈTRE (cible SNC ADONIA),SAS,49780,908068331,"20 Quai Duguay-Trouin, 35000 Rennes",Philippe ZERR,,Hors périmètre,2026-02-09,HOUSEBASE,,,,,"Cette offre cible SNC ADONIA (immeuble 30 rue Étienne Dolet 94230 Cachan, 501 600€), pas la présente entité.",,,,,,,,,,,PDF mal classé (doublon physique). Voir CSV de SNC ADONIA pour traitement principal.
ADELE_FIRMIN-16,ADELE_FIRMIN,30_SCI_ADELE_ET_FIRMIN_offre7.pdf,VERDOSO SAS,SAS,,,,,,Offre globale plan de cession,2026-03-02,VERDOSO SAS,,,,,Plan de cession global 26 entités FHBX,,,,,,,,,,,Docusign CC859BA0. Prix individualisé non extrait (PDF complet à retraiter pour ventilation par entité).
ADELE_FIRMIN-17,ADELE_FIRMIN,30_SCI_ADELE_ET_FIRMIN_offre8.pdf,VERDOSO SAS,SAS,,,,,,Offre globale plan de cession,2026-03-02,VERDOSO SAS,,,,,Plan de cession global 26 entités FHBX,,,,,,,,,,,Docusign EBE6E276. Prix individualisé non extrait (PDF complet à retraiter pour ventilation par entité).
ADELE_FIRMIN-18,ADELE_FIRMIN,30_SCI_ADELE_ET_FIRMIN_offre9.pdf,À identifier,,,,,,,,,,,,,,,,,,,,,,,,,Type non reconnu: UNKNOWN
