offre_id,dossier_id,fichier_source,nom_repreneur,forme_juridique_repreneur,capital_repreneur,rcs_repreneur,adresse_repreneur,dirigeant_repreneur,groupe_appartenance,type_offre,date_offre,societe_cessionnaire,prix_total_eur,prix_incorporels_eur,prix_corporels_eur,emplois_repris,perimetre_actifs,exclusions,conditions_suspensives,mode_financement,ca_repreneur_eur,resultat_exploitation_repreneur_eur,resultat_net_repreneur_eur,total_actif_eur,capitaux_propres_eur,validite_offre,avocat_repreneur,notes
"45-01","45","45_SAS___associ__unique_COLLEGE_DE_PARIS_offre1.pdf","UPSTAIRS SOCIAL IMPACT SAS + Association Vox Populi","SAS (société à mission + ESS) + Association",2100,"991476466 RCS Paris","59 boulevard Exelmans 75016 Paris","Edwige-Laure MOMBOULI (Prés. UPSTAIRS) / Armel MOMBOULI (Prés. Vox Populi)","Consortium UPSTAIRS + Vox Populi (V1 initiale)","Offre initiale",2026-04-10,"Groupe COLLEGE DE PARIS (périmètre global)",80000,,,1005,"Reprise globale groupe CDP, périmètre complet 1005 ETP, 10339 étudiants, maintien certifications RNCP","Privilège Barings L.622-17 (4,5M€) non repris","Non précisé en V1","Crédit Lombard Vox + investisseur impact en discussion + financement bancaire à structurer",25000,19016,19016,25431,18264,,,"Offre V1 initiale améliorée par offre25 V3 finale (offres A 200k€/Blocs 1+2 et B 150k€/Blocs 1+2+3). UPSTAIRS = SAS constituée 17/10/2025, exercice 1er partiel sept-dec 2025. Vox Populi = association loi 1901, 25 ans insertion QPV Île-de-France. Voir offre 45-25 pour version finale."
"45-02","45","45_SAS___associ__unique_COLLEGE_DE_PARIS_offre2.pdf","Marie ROLLAND + Sophie ROLLAND","Personnes physiques (PACS) avec faculté de substitution",,,"44 bd de Montréal 06200 Nice / 670 Route de l'Aire 06950 Falicon","Marie ROLLAND (née 08/08/1996 Nice) / Sophie ROLLAND (née 19/10/1992 Nice)","Familial (parents fondateurs ESCCOM 1991)","Offre de cession partielle",2026-04-10,"ESCCOM (Ecole Supérieure de Commerce et de Communication) - 306051 actions (51%)",51000,51000,0,0,"306051 actions ordinaires ESCCOM détenues par CDP (51% capital ESCCOM, RCS Nice 383704319, SAS cap 3048,98€, siège 22 rue El Nouzah 06000 Nice)","Aucun contrat de travail repris, aucun contrat en cours repris","(1) Inclusion dans périmètre actifs RJ CDP; (2) existence offre concurrente cession actions ESCCOM; (3) accord Tribunal commerce Nice sur cession L.631-10; (4) absence nantissement/droit rétention L.642-12","Fonds propres - chèque banque comptant signature",,,,,,"Audience du Tribunal","Me Marie BOISSIN (SELARL CAPELA Avocats Associés)","DOUBLON FONCTIONNEL DE 45-19 (même offre, contenu identique). Différence: offre2 = 112 pages incluant annexes complètes scannées (Kbis ESCCOM, statuts ESCCOM, pacte, jugement RJ Nice 12/02/2026, projet bilan 31/08/2025), offre19 = 13 pages version texte. ESCCOM en RJ depuis 12/02/2026, AJ Me Xavier HUERTAS, MJ Me Denis GASNIER. ESCCOM 2024-25: CA 8.913.968€ (-26%), Rex -1.591.634€, RN -1.811.360€. Faculté substitution vers SAS à constituer. Capital ESCCOM: CDP 51%/Marie ROLLAND 24,5%/Sophie ROLLAND 24,5%. Pacte d'associés inaliénabilité 6 ans (Période d'Inaliénabilité depuis 7/01/2023)."
"45-03","45","45_SAS___associ__unique_COLLEGE_DE_PARIS_offre3.pdf","EUREKA EDUCATION","SAS à mission",28586686,"838168011 RCS Paris","145 boulevard Haussmann 75008 Paris","Patrick DESTANG (via ARCHIMEDE SAS 889405965 - Présidente)","Groupe EUREKA EDUCATION (CA 300M€, 3000 salariés, 120 campus, 6500 entreprises partenaires)","Offre de reprise plan de cession",2026-04-10,"E2SE SAS (100% titres) - SAS unipersonnelle RCS Caen 418113908",500000,500000,0,107,"100% titres participation E2SE SAS (siège 4 rue des Mouettes 14000 Caen). E2SE Groupe (51,43% par CDP) propriétaire E2SE Campus 1 (4 rue des Mouettes Caen), E2SE Campus 2 (13 bd Maréchal Juin Caen), exploite baux E2SE Campus 3 (Colombelles) et E2SE Le Havre Colbert","Conséquences financières mises en demeure/injonctions antérieures à Date Entrée Jouissance; tout litige en cours","11 CS: (i) accord partenaires bancaires Groupe EUREKA; (ii) accord conseil surveillance ARCHIMEDE; (iii) accord créancier CDP nantissement E2SE; (iv) nouveaux baux commerciaux satisfaisants; (v) infos complémentaires apprenants/trésorerie; (vi) rencontrer dirigeants d'ici 30/04/2026; (vii) visiter campus d'ici 30/04/2026; (viii) audits techniques/financiers/réglementaires/juridiques/fiscaux; (ix) enquête Qualiopi 14/01/2026; (x) conformité ERP bâtiments; (xi) absence événement défavorable","Fonds propres + soutien actionnaires",300000000,,,,,2026-05-31,"Me Virginie HUG DE LARAUZE (VHL Avocats, 37 rue des Acacias 75017 Paris)","DOUBLON FONCTIONNEL DE 45-16 (même offre, contenu identique). Différence: offre3 = 45 pages avec annexes complètes scannées (Kbis EUREKA, statuts, Kbis ARCHIMEDE, etc.), offre16 = 17 pages version texte. Périmètre social: 107 emplois directs + 397 formateurs en prestations. EUREKA = société à mission depuis 09/2022 (loi PACTE). Architecture: ARCHIMEDE > EUREKA EDUCATION. Implantations France, Espagne (Albali), Angleterre (Knovia Group). 21 titres RNCP."
"45-04","45","45_SAS___associ__unique_COLLEGE_DE_PARIS_offre4.pdf","DELLEN","Société (forme à confirmer)",,,,,"Groupe DELLEN","Offre de reprise",2026-04-10,"COMUNDI (fonds de commerce formation continue)",800000,,,,"Fonds de commerce COMUNDI","À préciser","À préciser","À préciser",,,,,,,,"DOUBLON BINAIRE DE 45-05 (mêmes tailles 499694 bytes). PDF non lu en détail dans cette session - données extraites lors d'analyse antérieure. Prix 800.000€ pour reprise activité COMUNDI. Concurrente avec offres SAMARKAND (45-24) et GALILEO partielle (45-08), CONSTELLATIS (45-09)."
"45-05","45","45_SAS___associ__unique_COLLEGE_DE_PARIS_offre5.pdf","DELLEN","Société (forme à confirmer)",,,,,"Groupe DELLEN","Offre de reprise",2026-04-10,"COMUNDI (fonds de commerce formation continue)",800000,,,,"Fonds de commerce COMUNDI","À préciser","À préciser","À préciser",,,,,,,,"DOUBLON BINAIRE DE 45-04 (mêmes tailles 499694 bytes - contenu identique). Conservé dans le dépôt double pour traçabilité greffe."
"45-06","45","45_SAS___associ__unique_COLLEGE_DE_PARIS_offre6.pdf","ALTERNIS","Société (forme à confirmer)",,,,,"Groupe ALTERNIS","Offre de reprise",2026-04-10,"E2SE (titres de participation)",500000,,,,"Titres E2SE","À préciser","À préciser","À préciser",,,,,,,,"DOUBLON BINAIRE DE 45-07 (mêmes tailles 7511697 bytes). PDF non lu en détail dans cette session. Prix 500.000€ pour reprise E2SE. Concurrente avec EUREKA EDUCATION (45-03/45-16) et EDUINVEST (45-10) sur le même périmètre E2SE."
"45-07","45","45_SAS___associ__unique_COLLEGE_DE_PARIS_offre7.pdf","ALTERNIS","Société (forme à confirmer)",,,,,"Groupe ALTERNIS","Offre de reprise",2026-04-10,"E2SE (titres de participation)",500000,,,,"Titres E2SE","À préciser","À préciser","À préciser",,,,,,,,"DOUBLON BINAIRE DE 45-06 (mêmes tailles 7511697 bytes - contenu identique). Conservé dans le dépôt double pour traçabilité greffe."
"45-08","45","45_SAS___associ__unique_COLLEGE_DE_PARIS_offre8.pdf","GALILEO GLOBAL EDUCATION","Société",,,,"Marc-François MIGNOT MAHON (Prés. Galileo)","Galileo Global Education (groupe enseignement supérieur privé controlé CPP Investment + Thétys Invest)","Offre partielle",2026-04-10,"COMUNDI (périmètre partiel)",100000,,,,"Périmètre partiel COMUNDI","À préciser","À préciser","Fonds propres groupe Galileo",,,,,,,,"PDF non détaillé dans cette session - données extraites antérieurement. Prix 100.000€ pour périmètre partiel COMUNDI. Galileo = groupe paneuropéen enseignement supérieur (Paris School of Business, EM Normandie, etc.)."
"45-09","45","45_SAS___associ__unique_COLLEGE_DE_PARIS_offre9.pdf","CONSTELLATIS / GERESO","Société",,,,,"GERESO (formation continue management/RH)","Offre de reprise",2026-04-10,"COMUNDI",2500000,,,,"Activité COMUNDI","À préciser","À préciser","Fonds propres + financement à structurer",,,,,,,,"PDF non détaillé dans cette session - données extraites antérieurement. Prix 2,5M€ COMUNDI - offre la plus élevée sur ce périmètre. Concurrente avec DELLEN (45-04/05), SAMARKAND (45-24), GALILEO partielle (45-08)."
"45-10","45","45_SAS___associ__unique_COLLEGE_DE_PARIS_offre10.pdf","EDUINVEST","Société d'investissement",,,,,"EDUINVEST","Offre de reprise",2026-04-10,"E2SE (titres)",1000000,,,,"Titres E2SE","À préciser","À préciser","Fonds propres",,,,,,,,"PDF non détaillé dans cette session - données extraites antérieurement. Prix 1M€ E2SE. Concurrente avec EUREKA EDUCATION (500k€, 45-03/45-16) et ALTERNIS (500k€, 45-06/07) sur le même périmètre E2SE."
