offre_id,dossier_id,fichier_source,nom_repreneur,forme_juridique_repreneur,capital_repreneur,rcs_repreneur,adresse_repreneur,dirigeant_repreneur,groupe_appartenance,type_offre,date_offre,societe_cessionnaire,prix_total_eur,prix_incorporels_eur,prix_corporels_eur,emplois_repris,perimetre_actifs,exclusions,conditions_suspensives,mode_financement,ca_repreneur_eur,resultat_exploitation_repreneur_eur,resultat_net_repreneur_eur,total_actif_eur,capitaux_propres_eur,validite_offre,avocat_repreneur,notes
FS_CIE-01,FS_CIE,47_SC_FS_ET_CIE_offre1.pdf,À identifier,,,,,,,,,,,,,,,,,,,,,,,,,Type non reconnu: UNKNOWN
FS_CIE-02,FS_CIE,47_SC_FS_ET_CIE_offre10.pdf,LABRAX INVEST,,,,,,,Offre finale,2026-03-02,LABRAX INVEST,21000000,,21000000,,"Portefeuille global Melot/Gouband 26 entités + appartement Paris 16e (lot 35, 54-56 av. Théophile Gautier)",,Sous garanties ordinaires et usuelles,,,,,,,,,"Offre 'finale, ferme et indivisible' 21M€ pour le portefeuille global. Réitère/complète l'offre initiale du 09/02/2026."
FS_CIE-03,FS_CIE,47_SC_FS_ET_CIE_offre11.pdf,Groupe JADO (Alexandre-Igor + Stéphane ROIG),,,,,Alexandre-Igor (groupejado.com) ; Stéphane ROIG (PARTNER CONSULTANCY SERVICES FRANCE),Groupe JADO + PARTNER CONSULTANCY SERVICES FRANCE,Offre Balthazar VMoncey,2026-02-09,,,,,,,,,,,,,,,,"Maître Augustin LACCOURS — MONCEY AVOCATS, 6 rue Léo Délibes 75116 Paris",Offre Groupe JADO via cabinet Moncey. Détails du PDF (23 pages) à retraiter pour prix individualisés.
FS_CIE-04,FS_CIE,47_SC_FS_ET_CIE_offre12.pdf,Offre améliorative (à identifier - DDO 02/03/2026),,,,,,,Offre améliorative,2026-03-02,,,,,,Offre améliorative actifs immobiliers (asset deal sauf si plan de cession imposé),,,,,,,,,,,DDO 2 mars 2026 avant minuit. Identité candidat et prix à extraire.
FS_CIE-05,FS_CIE,47_SC_FS_ET_CIE_offre2.pdf,"MUVICO (probable, PDF non extrait)",,,,,,,,,,,,,,,,,,,,,,,,,PDF >5MB non extrait. Probablement offre MUVICO globale Foncière Melot Gouband.
FS_CIE-06,FS_CIE,47_SC_FS_ET_CIE_offre3.pdf,"MUVICO (probable, PDF non extrait)",,,,,,,,,,,,,,,,,,,,,,,,,PDF >5MB non extrait. Probablement offre MUVICO globale Foncière Melot Gouband.
FS_CIE-07,FS_CIE,47_SC_FS_ET_CIE_offre4.pdf,"MUVICO (probable, PDF non extrait)",,,,,,,,,,,,,,,,,,,,,,,,,PDF >5MB non extrait. Probablement offre MUVICO globale Foncière Melot Gouband.
FS_CIE-08,FS_CIE,47_SC_FS_ET_CIE_offre5.pdf,HOUSEBASE — HORS PÉRIMÈTRE (cible SNC ADONIA),SAS,49780,908068331,"20 Quai Duguay-Trouin, 35000 Rennes",Philippe ZERR,,Hors périmètre,2026-02-09,HOUSEBASE,,,,,"Cette offre cible SNC ADONIA (immeuble 30 rue Étienne Dolet 94230 Cachan, 501 600€), pas la présente entité.",,,,,,,,,,,PDF mal classé (doublon physique). Voir CSV de SNC ADONIA pour traitement principal.
FS_CIE-09,FS_CIE,47_SC_FS_ET_CIE_offre6.pdf,À identifier,,,,,,,,,,,,,,,,,,,,,,,,,Type non reconnu: UNKNOWN
FS_CIE-10,FS_CIE,47_SC_FS_ET_CIE_offre7.pdf,VERDOSO SAS,SAS,,,,,,Offre globale plan de cession,2026-03-02,VERDOSO SAS,,,,,Plan de cession global 26 entités FHBX,,,,,,,,,,,Docusign CC859BA0. Prix individualisé non extrait (PDF complet à retraiter pour ventilation par entité).
FS_CIE-11,FS_CIE,47_SC_FS_ET_CIE_offre8.pdf,VERDOSO SAS,SAS,,,,,,Offre globale plan de cession,2026-03-02,VERDOSO SAS,,,,,Plan de cession global 26 entités FHBX,,,,,,,,,,,Docusign EBE6E276. Prix individualisé non extrait (PDF complet à retraiter pour ventilation par entité).
FS_CIE-12,FS_CIE,47_SC_FS_ET_CIE_offre9.pdf,À identifier,,,,,,,,,,,,,,,,,,,,,,,,,Type non reconnu: UNKNOWN
