offre_id,dossier_id,fichier_source,nom_repreneur,forme_juridique_repreneur,capital_repreneur,rcs_repreneur,adresse_repreneur,dirigeant_repreneur,groupe_appartenance,type_offre,date_offre,societe_cessionnaire,prix_total_eur,prix_incorporels_eur,prix_corporels_eur,emplois_repris,perimetre_actifs,exclusions,conditions_suspensives,mode_financement,ca_repreneur_eur,resultat_exploitation_repreneur_eur,resultat_net_repreneur_eur,total_actif_eur,capitaux_propres_eur,validite_offre,avocat_repreneur,notes
63-01,63,63_Association_FEDERATION_UNIE_DES_AUBERGES_DE_JEUNES_offre1.pdf,GROUPE DELAFORGE,SAS,27950200,519731749,"8 rue Anatole de la Forge, 75017 Paris",Tarik MAYOUFI (President) et Fares Yassin MAYOUFI,Groupe Delaforge (acteur familial hotellerie/immobilier — 16 hotels ~550 chambres + foncier + investissement),Offre de reprise partielle,2026-03-10,Faculte de substitution au profit de toute societe controlee directement ou indirectement par le Repreneur,500000,,,"Reprise des salaries de Nice Les Camelias (13 dont 5 CDI + 8 CDD) et Paris Yves Robert (29 dont 20 CDI + 9 CDD) — total 42 salaries repris","Reprise partielle de 3 sites : (1) Auberge Hi-Nice Les Camelias murs+fonds (3 rue Spitalieri 06000 Nice — parcelle 000 LB 241 — 530m²) ; (2) fonds de commerce Hi-Paris Yves Robert (20 esplanade Nathalie Sarraute 75018) ; (3) droit au bail Hi-Paris Le D'Artagnan (80 rue Vitruve 75020 — ferme pour travaux 2+ ans) + Licence IV. Incorporels (marques, licences III/IV, clientele, contrats, enseigne, fichiers, logiciels, noms de domaine, serveurs, archives, PI, permis, autorisations) + corporels (immeubles, materiels, mobiliers, agencements) + stocks au recolement,"Tous autres actifs de la FUAJ (creances clients, immobilisations financieres, disponibilites — sauf avances clients prestations a realiser)",Non detaillees comme conditions explicites (offre ferme),"Fonds propres et emprunt ou credit-bail (apports en fonds propres 500 000€ — emprunt 0€)",22559000,9616000,7010000,74651000,24077000,2026-06-30,Non mentionne,"Ventilation prix : Nice Camelias murs 175 000€ + fonds 75 000€ = 250 000€ ; Paris Yves Robert fonds 200 000€ (pas de murs) ; Paris Le D'Artagnan droit au bail 40 000€ + Licence IV 10 000€ = 50 000€. Garantie : virement CDC 50 000€ (10% prix). Engagement reprise droits congés payés + RTT 42 salaries ~155 000€ (charge augmentative). Actionnariat famille Mayoufi : Fares + Tarik 139 751 parts chacun + Ines/Lydia/Mounia/Radia/Sabrina/Samia/Siheme. Investissements prevus : Le D'Artagnan equipement+ameublement 1 368 000€ HT + BFR 500 000€. Groupe Delaforge : 3 poles (hospitality 16 hotels, foncier, investissement). CA consol 2022 : 22 545k€ ; 2023 : 24 307k€ ; 2024 : 22 559k€. Resultat expl 2024 : 9 616k€. Resultat net 2024 : 7 010k€. Actif non courant 52 003k€ + actif courant 22 648k€. Date entree en jouissance : premier jour ouvre suivant jugement. PDF 112 pages avec annexes (Kbis, statuts, IDs, comptes consolides)."
63-02,63,63_Association_FEDERATION_UNIE_DES_AUBERGES_DE_JEUNES_offre2.pdf,SARL GECTURE,SARL,7622.45,420848673,"Chemin des Sires le Bez, 05240 La Salle des Alpes",Frederic BONNEMAIN (fondateur et gerant),ScolVoyages (nom commercial — gere 10 centres de vacances dont 4 a Chamrousse — CA 5,57M€ HT en 2025),Offre de reprise,2026-04-10,GECTURE / ScolVoyages (reprise directe — pas de faculte de substitution),47910,30000,17910,1,Auberge de jeunesse de Chamrousse : droit au bail (avec FDA Chamrousse 2030 — 5 rue Chalgrin 75116 Paris) + licence 3 + agrement SDJES + autorisation d'ouverture + mobilier et equipement complet + 1 vehicule Kangoo BF-163-KB,"Nom commercial FUAJ, logo FUAJ, logiciels de gestion, concepts marketing FUAJ, stocks alimentaires, contrat Lyra Collect, contrats d'assurance batiment, comptes clients/creances/fournisseurs, disponibilites",Aucune,100% fonds propres (autofinancement GECTURE/ScolVoyages),5569075,,,,,Au jour du jugement amene a statuer sur le plan de cession,Non mentionne,"Total avec charges augmentatives : 116 009,13€ = 47 910€ prix + 60 000€ changement chaudiere + 8 099,13€ acomptes percus FUAJ non perçus par ScolVoyages. Reprise droits acquis salaries + reprise contrats : bail Chamrousse, contrat CFM maintenance cuisine (32 rue de la Paix 38130 Echirolles), contrat MC2S video surveillance (69B rue de Malacombe 38070 Saint Quentin Fallavier). Garantie : cheque banque ou virement. Auberge Chamrousse : CA 2025 227 101€ (hors adhesion FUAJ et subvention). ScolVoyages gere deja 4 centres a Chamrousse : Le Chazelet (proprio depuis 2013), Les Alpages (bail 2020), Belledonne (bail 2020), Champ Roussi (proprio 2015). Equipe siege : Frederic+Mathilde Bonnemain + Yohann Poirier + Celine Jacquot + Victoria Jorge + Justine Chaput. Previsionnels : 2026 CA 78 064€ / 2027 CA 353 575€ / 2028 CA 373 190€ / 2029 CA 380 618€. EBE 2026 -1928€ / 2027 75091€ / 2028 82046€ / 2029 84331€. CA ScolVoyages : 2023 5 290 777€ HT / 2024 5 349 007€ HT / 2025 5 569 075€ HT. Repreneur du seul salarie CDI agent polyvalent niv.1. 1 cuisiniere CDI ScolVoyages residente Chamrousse a integrer en alternance. Attestation L.642-3 : aucun lien direct/indirect avec FUAJ (annexe 5)."
63-03,63,63_Association_FEDERATION_UNIE_DES_AUBERGES_DE_JEUNES_offre3.pdf,Federation des Oeuvres Laiques de Haute-Savoie (FOL74),Association loi 1901,,77565450200100,"3 avenue de la Plaine, BP 340, 74008 Annecy Cedex",Patrick KOLB (President) — Stephane BADEIGTS (Secretaire General / Directeur des Services),Ligue de l'Enseignement (mouvement education populaire — affiliee 1866 — Ligue : 20000 associations 24000 communes 200000 benevoles 102 federations 140 centres de vacances 65 centres de formation),Offre de reprise partielle,2026-04-10,Reprise directe par FOL74 (aucune faculte de substitution explicite),20000,,,9,Reprise partielle exclusive de l'auberge de jeunesse d'ANNECY (4 rue du Semnoz 74000 Annecy) : integralite des elements incorporels (PI complete) + integralite actifs corporels + stocks 500€ — tous les contrats en cours (L.642-7),"Tout element d'actif non expressement repris ; tout passif existant","(Aucune condition suspensive expresse — offre ferme)",Sur fonds propres,36500000,,,,8200000,Au jour du jugement amene a statuer sur le plan de cession,Non mentionne,"Elements corp+incorp : 19 500€ + stocks 500€ = 20 000€ prix. Charges augmentatives : droits acquis salaries (CP+CET au 31/03/26) 38 745€ + abandon acomptes encaisses prestations posterieures a la date d'entree jouissance 42 000€. TOTAL charges augmentatives : 100 745€. Reprise des 9 salaries (7 CDI + 2 CDD en apprentissage) avec maintien droits acquis. Reprise tous contrats en cours. Repreneur : association declaree 23/04/1929 sous le n°225 — Code NAF 552 — APE 5520Z. Agreee Jeunesse et Sports 11/12/1937 (Arrete Leo Lagrange). Reconstituee 23/12/1944 (n°631). Agrements : Education populaire, Engagement Service Civique, Associations educatives complementaires Enseignement public, Utilite publique via Ligue de l'Enseignement, Intermediation locative gestion locative sociale ILGLS, Ingenierie sociale financiere et technique ISFT, ESUS. Habilitations : Corps Europeen de Solidarite, Qualiopi, label Association Apprenante, BPJEPS, tiers de confiance URSSAF, registre operateurs voyages. Chiffres cles 31/12/2025 : CA 36,5M€ — capitaux propres 8,2M€ — actifs immobilises 11M€ — tresorerie 4,4M€ — 325 ETP permanents + saisonniers. FOL74 proprietaire de 7 structures touristiques + gere 5 centres de vacances + 8 structures saisonnieres : village gites St Raphael (83), camping Piriac (44), village vacances Saint-Jean d'Aulps. En 2025 : 9 103 enfants en sejours vacances, 2 102 en centres de loisirs, 63 communes conventionnees, 15 CE, 124 classes neige + 154 mer + 97 vertes = 10 200 enfants. 39 000 journees pension complete. CAC : Exco loire (Fabrice RABERIN). Garantie : virement prix total au jour de l'audience."
63-04,63,63_Association_FEDERATION_UNIE_DES_AUBERGES_DE_JEUNES_offre4.pdf,FEMINA STYL SAS,Société par actions simplifiée,2006340,350976551,"6 rue des 3 Cailloux, 80000 Amiens",Marc HUBLE (President),Holding d'investissement patrimonial famille HUBLE (groupe diversifie 1980 — Pole expertise comptable SECOVI 260 collaborateurs cede salaries / Pole investissement immobilier longterme grandes agglomerations / Pole hotellerie urbaine Ibis Mercure Best Western / Pole hotellerie plein air campings / Pole distribution Mango Lacoste Gemo Etam),Offre de reprise partielle,2026-04-10,Faculte de substitution societe constituee ou a constituer detenue par Femina Styl,200000,,,"3 salaries en CDI de Nice Les Camelias","Reprise partielle exclusive de Nice Les Camelias : fonds de commerce auberge de jeunesse 3 rue Spitalieri 06000 Nice + immeuble en pleine propriete 3 rue Spitalieri (parcelle 000 LB 241 — 530m²) + contrats licences actifs immateriels — incorporels (fonds de commerce, licences III, clientele, contrats, enseigne, fichiers, logiciels, noms domaine, serveurs, archives, PI, permis) + corporels (immeubles, materiels, mobiliers, agencements, archives sociales) + stocks au recolement","Tous autres actifs FUAJ ; reserves de propriete et droits de retention exclus a discretion repreneur",Non explicites (offre globale, audit en cours),Fonds propres,4439000,952000,6237000,158838000,103026000,2026-06-30,Non mentionne,"Repreneur cree en 1980. Pole hotellerie urbaine (Ibis/Mercure/Best Western). Investissement immobilier centre-ville Paris 8/9/10, Lyon, Lille, Nantes, Amiens, Rouen, Nice, Bordeaux (locataires : Zara, H&M, Mango, Monoprix, Galeries Lafayette, Sephora, Marionnaud, Douglas, Hema, FNAC, Cultura, Accor). Comptes sociaux FEMINA STYL 2024 : CA HT 4 439k€ / EBE 952k€ / RN 6 237k€ / Actif courant 158 838k€ / Passif courant 58 812k€ / Capitaux propres 103 026k€. Capital divise en 89 445 actions cat A + 28 575 actions cat B (17€ chacune) — detenues integralement par famille HUBLE. Mention DocuSign : envelope 667740CE-6CDF-4012-AD69-07B80FDB387B. Date entree jouissance : premier jour ouvre suivant jugement. Garantie chèque/virement. Repreneur finalisera previsionnels exploitation+tresorerie 2 ans en amelioration ulterieure post-audit."
63-05,63,63_Association_FEDERATION_UNIE_DES_AUBERGES_DE_JEUNES_offre5.pdf,COSMIQUES SAS,SAS (Société à associé unique),5000,991858895,"11 rue Mariotte, 75017 Paris",Gabriel ECALLE (President — ne 12/12/1987 a Versailles 78),Holding personnelle Gabriel Ecalle (100%) — entrepreneur ayant cree VOLTAIRE (velos electriques haut-de-gamme — CA 2,9M€ 2025 — 4 boutiques Paris/Levallois — reseau 200 distributeurs Europe/Asie — rachetee par ULTIMA MOBILITY),Offre de reprise partielle,2026-04-07,Faculte de substitution societe constituee ou a constituer controlee par COSMIQUES ou par Gabriel Ecalle (L.642-9 al.3),200000,,,"9 salaries (1 CDI Directeur etablissement + 8 CDD saisonniers)",Reprise partielle exclusive Nice Les Camelias : pleine propriete immobilier cadastre section LB n°241 (3 rue Spitalieri 06000 Nice) + fonds de commerce auberge + mobilier/equipements + stocks au jour du transfert + clientele + reservations en cours + nom commercial et enseigne 'Les Camelias' + licence III + marques + reprise des contrats en cours (OTA fourniture energie telecom entretien assurance blanchisserie securite — L.642-7),"Tout passif ou engagement (notamment hors bilan) anterieur ; tous elements d'actif non rattaches a l'exploitation Les Camelias ; tout litige en cours ou a naitre anterieur ; impots et taxes anterieurs ; tout actif finance par concours garantis par suretes eligibles L.642-12 al.4","(i) Finalisation due diligence satisfaisante (immobiliere/sociale/commerciale/juridique/financiere) ; (ii) Absence d'evenement affectant significativement la nature/consistance/valeur (perte client significatif, litige sur PI, etc.) ; (iii) Confirmation actifs transferes libres de toute hypotheque/nantissement/gage/surete/droit tiers ; (iv) Confirmation absence droit de preemption (DPU notamment)","Fonds propres 500k€ Gabriel Ecalle + emprunt bancaire 1 500-2 000k€ — total 2 000-2 500k€",,,,,,2026-06-10,Non mentionne (actes par conseil COSMIQUES),"Depot garantie 10% du prix = 20 000€ chez Maitre CBF Associes. CAPEX prevus 1M€ sur 3 ans (parties communes, chambres, jardin, restauration). Charges augmentatives : conges payes acquis + RTT. COSMIQUES creee 30/09/2025 (Greffe TAE Paris — n°gestion 2025B40518). EUID FR7501.991858895. Objet : prise participation, conseil, prestations services administratifs/financiers/commerciaux/techniques, acquisition PI, gestion biens immobiliers, marchand de biens, valorisation. Vision 3 phases : 2026 continuite et securisation (calendrier inchange jusqu'en novembre) ; 2027 montee en gamme + restauration en propre (30 couverts/jour 7 mois) ; 2028 refection 4 etages chambres taux occupation 75% prix moyen 38€/nuitee. Objectif maturite an 3 : CA 1,4-1,6M€ (70% hebergement + 30% restauration) — marge EBE >30%. Engagements sociaux : aucun licenciement economique 24 mois ; maintien conditions/avantages acquis ; plan de formation montee en competences nouveaux outils gestion + service restauration 2027 ; creation 1,5 ETP supplementaires des 2027 ouverture service restauration ; priorite reembauche art L.1233-45 pendant 12 mois. Caractere indivisible : exclusion d'un actif rendrait l'offre caduque. Mention DocuSign : envelope 07579F25-6530-4959-9F2D-CF6B0B5DC585. Annexes : Kbis, statuts, ID dirigeant, copie cheque banque."
63-06,63,63_Association_FEDERATION_UNIE_DES_AUBERGES_DE_JEUNES_offre6.pdf,Commune de Beaulieu-sur-Dordogne,Collectivite territoriale (Commune et commune nouvelle),,200081487,"Place Albert / Hotel de Ville, 19120 Beaulieu sur Dordogne",Dominique CAYRE (Maire),Collectivite publique (Commune — Categorie juridique 7210),Proposition de soumission / Offre d'acquisition,2026-03-31,Commune de Beaulieu-sur-Dordogne (acquisition pour patrimoine communal),70000,,,0,"Acquisition exclusive du bien immobilier 'Auberge de Jeunesse' propriete de la FUAJ — adresse 24 rue de la Chapelle 19120 Beaulieu-sur-Dordogne — cadastre AL 280. Batiment historique inscrit (arrete du 22/08/1949). Etablissement constitue de 3 niveaux : RDC salle commune + cheminee + cuisine gaz propane + sanitaires ; R+1 2 chambres (2+6 places) + duplex 9 places + chambre 4 places ; R+2 chambre 5 places + logement surveillance. Capacite total 26 personnes. ERP type O 4e categorie + N + R.","Pas d'autres actifs FUAJ ; pas de reprise activite ni emplois","Delibération du conseil municipal a fournir si necessaire",Fonds propres collectivite (budget communal),,,,,,,Non mentionne,"Objectif acquereur : eviter que l'immeuble ne reste dans le domaine prive et amenager des logements destines a la location (employes saisonniers ou jeunes apprentis) — necessite rehabilitation complete + investissement financier important. Batiment historique sauve avant-guerre (ete 1939) par benevoles habitants. Etat degrade — a perdu son caractere d'ERP. Inscrit MH 22/08/1949. SIRET 200 081 487 00015 (registre SIRENE). Document joint : rapport de visite Commission de Securite d'Arrondissement Brive (Lieutenant Laurent BRISSON SDIS Correze E019.10842) du 03/09/2020 — Avis defavorable de la commission (non-conformite etablissement type O 4e categorie + arrete 25/10/2011) — 7 prescriptions liees a l'exploitation + 5 prescriptions permanentes. Effectif public : hebergement 26 + jour 27 + personnel 3 = 30. Prescriptions notamment : mise en conformite type O 4e cat, blocs portes, eclairage securite tous niveaux, consignes incendie, suppression fiches multiples, securisation stockage bouteilles propane 35kg, DAE obligatoire 01/01/2021. Proprietaire historique : M. MARTEL Guy (rapport SDIS) — devenu propriete FUAJ ulterieurement."
63-07,63,63_Association_FEDERATION_UNIE_DES_AUBERGES_DE_JEUNES_offre7.pdf,Association des Anciens Gestionnaires des Auberges de Jeunesse du Morbihan (AAG 56),Association loi 1901,,,"18 rue de Bourgogne, 56300 Pontivy",Joelle LE PRIOUX (Presidente) — Henry TANGUY (Vice-President),Anciennement 'Association Ajiste Gestionnaire des Auberges de Jeunesse du Morbihan' — affiliee aux fondamentaux du mouvement ajiste,Offre de reprise (1€ symbolique),2026-04-09,Reprise directe par AAG 56 (pas de K-bis a la date — demande sera faite des accord de cession),1,,,Aucun explicite (engagement maintien de l'emploi avec droits acquis sans nombre precise),"Reprise partielle exclusive : auberge de jeunesse de l'Ile de Groix — uniquement activite auberge de jeunesse + equipement en place. Foncier exclu (option acquisition NON envisagee).",Foncier / option acquisition immobilier,Aucune,Fonds propres associatifs (cotisations + subventions + dons + produits activites),,,,,,(implicite — au jour du jugement),Non mentionne (sans avocat),"Offre symbolique 1€. Engagement sur 3 criteres : (1) maintien de l'activite ; (2) maintien de l'emploi avec droits acquis ; (3) prise en charge droits d'enregistrement et frais de redaction actes de cession. Association historique : premiere occupation Ile de Groix 1950, convention Marine Nationale 1951, renouvelle jusqu'en 1998 (date acquisition par FUAJ). Convention de concession de label 1991 confortait gestion. FUAJ a denonce convention en 2023 — l'AAG ecartee sans indemnite ni compensation + solde compte bancaire conserve par FUAJ. Cahier des charges : controleur ayant eu qualite ne peut presenter offre directement ou par personne interposee. AAG 56 a tenu ce role debut du RJ jusqu'en 2022 — candidature comme controleur etait dans contexte opposition gouvernance FUAJ + opposition vente actifs + proposition rendre actifs inalienables. Auberge actuellement vetuste necessitera nouveaux equipements (progressif sans endettement lourd). Acompagnement reseau Ligue de l'Enseignement / FOL / Vacances Passion. Pieces jointes : statuts association (W561002565 — anciennement 0561001267 — siege transfere 21/02/2025), recepisse sous-prefecture Pontivy. Modification statuts AG extraordinaire 29/11/2024."
63-08,63,63_Association_FEDERATION_UNIE_DES_AUBERGES_DE_JEUNES_offre8.pdf,BreizhTourisme (filiale SemBreizh),SAS,5500000,984381699,"13 rue du Clos Courtel, 35510 Cesson-Sevigne",Guillaume DIEUSET (President du Comite Strategique),"SemBreizh (societe d'economie mixte 15M€ capital — actionnaires Region Bretagne + collectivites + banques) — investisseur immobilier touristique 25M€ vol cible — actionnaires capital 5,5M€ : SemBreizh 2,4M€ + Banque des Territoires 2,4M€ + Credit Agricole 300k€ + Arkea 300k€ + Caisse d'Epargne Bretagne Pays de Loire 100k€",Lettre d'information / Lettre d'interet (co-investisseur potentiel),2026-04-08,A definir avec exploitant futur (achat immobilier par BreizhTourisme + signature bail commercial avec exploitant + financement travaux),,,,,Lettre d'interet pour co-investissement IMMOBILIER de l'auberge de jeunesse de Belle-Ile-en-Mer (commune de Le Palais — propriete FUAJ). Pas une offre de reprise au sens stricte. Scenarios : (1) mise en relation avec entite qui rachete et obtient attribution ; (2) achat immobilier par BreizhTourisme + bail commercial exploitant + financement travaux (estime 3,5-4M€ travaux portant operation a ~5,5M€),Foncier propose en portage immobilier 15 ans maximum avec rachat parts par exploitant a terme. BreizhTourisme NE finance PAS investissements lies a l'exploitation,Conditions standards comite technique + comite strategique BreizhTourisme (analyse 4-6 mois — validite projet / solvabilite / technique / RSE / modele economique / retour sur investissement),Fonds propres BreizhTourisme + comptes courants associes + sollicitation partenaires bancaires,,,,,,,Non mentionne,"Lettre d'INFORMATION et non offre formelle. Reference BreizhTourisme : GD/CD n°26001. BreizhTourisme est co-actionnaire de la SAS proprietaire du tiers-lieu 'Propice' voisin de l'auberge dans le quartier Haut de Boulogne. SemBreizh mene actuellement plusieurs etudes sur Belle-Ile : programmation Cite de la Paix + Grand Phare (CC Belle-Ile-en-Mer), programmation salle polyvalente + accueil camping (commune Bangor), rehabilitation centre d'accueil logement insulaire jeunes actifs (mairie Sauzon). Partenariats Region + UNAT Bretagne pour tourisme social et solidaire. Pacte d'associes definit typologies projets : hebergements (hotel/camping/gite/centres vacances), centres nautiques. Estimation travaux 3,5-4M€. Operation totale ~5,5M€. Conduite AMO par SemBreizh. SIRET 984 381 699 00011 — APE 6810Z — TVA FR91 984381699. Note d'interet jointe : presentation BreizhTourisme + motivations + scenarios d'intervention."
63-09,63,63_Association_FEDERATION_UNIE_DES_AUBERGES_DE_JEUNES_offre9.pdf,BRAXTON ASSET MANAGEMENT,SAS,19828,822424339,"4 rue de la Pompe, 75016 Paris",Charles DUCLERT (President) — Xavier BASTIANI (Directeur General) — Olivier VAN DEN D'OBRENAN (DG Delegue),"BRAXTON ASSET MANAGEMENT (creee 2016 — 110+ actifs immobiliers gerés / 600M€ AUM) + filiale ALFRED HOTELS (creee 2022 — 7 hotels + 7 hotels en ouverture 2026/2027 — Biarritz Port Vieux, Camping, Beaune 21.04, Monaco, Montreuil 93.06, Toulouse 31.07, Paris 75.08) + BRAXTON INVESTMENT MANAGEMENT (ex-LAFAYETTE GESTION agreee AMF — 150M€ AUM). Actionnariat : LABRAX (SARL 843118753) 59,89% / BRAXTON ManCo 29,59% / GIRALIA 9,52% / Alexis GROVEN 1%",Offre de reprise globale en plan de cession (multi-sites),2026-04-10,Faculte de substitution societes constituees ou a constituer controlees directement ou indirectement par BRAXTON,100000,29000,70000,"Postes a determiner ulterieurement (liste a communiquer prochainement par categorie professionnelle et par auberge reprise — engagement reprise droits a conges payes acquis posterieurement au jugement)","Offre globale sur 9 auberges PRINCIPALES : (1) Paris Yves Robert ; (2) Paris Le D'Artagnan ; (3) Chamonix Mont-Blanc ; (4) Nice Les Camelias ; (5) Le Mont-Dore Chalet le Grand Volcan ; (6) Belle-Ile-en-Mer Haute Boulogne ; (7) Serre-Chevalier ; (8) La Clusaz ; (9) Ile de Groix. + 14 auberges SOUS CONDITIONS (renegociation avec personnes publiques) : Strasbourg, Lille Stephane Hessel, Amiens, Annecy, Clermont-Ferrand, Marseille Chateau de Bois Luzy, Boulogne-sur-Mer Annette Allan-Lantz, Poitiers Bellejouanne, Grenoble Echirolles, Cahors Le Chai, Cancale Baie du Mont-Saint-Michel, Arles, Avignon, Nimes La Cigale. Fonds de commerce + actifs incorporels (clientele, enseignes Hi France, marques, noms domaine, PI, logiciels, licences) + actifs corporels (immobiliers Nice/Serre-Chevalier/La Clusaz/Belle-Ile/Le Mont-Dore/Ile de Groix/Poitiers + mobiliers + materiels) + stocks au recolement. Titres filiales : HI FRANCE EXPLOITATION + HI FRANCE SERVICES + FUAJ GESTION + AU 235 + HOSTEL VIEUX LYON + LA GRANDE ECHELLE + HOSTEL RENNES (sous reserve audit)",Tous actifs FUAJ affectes a autres auberges non visees sauf disposition contraire — actifs corporels/incorporels/stocks ne repondant pas aux criteres specifies — contrats client en situation precontentieuse/contentieuse — droits a dettes,"(1) finalisation due diligence financiere/juridique/fiscale/commerciale/sociale satisfaisante ; (2) obtention accord personnes publiques pour reprise et transfert contrats (notamment baux civils ou commerciaux) ; (3) obtention financements ; (4) obtention autorisations corporate ; (5) absence modification substantielle ou evenement alterant la nature/consistance/valeur marchande des actifs",Fonds propres + partenaires financiers habituels,4351581,1337706,1270237,4592934,1023432,Au jour de l'audience statuant sur l'offre (offre lie repreneur jusqu'a decision Tribunal — L.642-2-V),Non mentionne (acte par Conseil du repreneur),"Ventilation prix 100k€ : Incorporels 29 000€ + Corporels 70 000€ + Stocks 1 000€. Plus grosse offre globale en nombre de sites (23 sites visés). Substitution sollicitee. Indivisibilite : Offre est globale et indivisible — seul Repreneur pourra renoncer indivisibilite en adaptant liste auberges. Charges augmentatives prevues : droits conges payes acquis post-jugement + impots/taxes prorata. Date entree jouissance : jour ouvre suivant jugement plan de cession (gestion confiee a Repreneur des le lendemain — L.642-8). CA 2024 BRAXTON : 4 351 581€ — Resultat exploitation 1 337 706€ — Resultat net 960 797€ (comptes Actheos CAG Partners — Xavier Bastiani signataire DocuSign BF4C177E-DB14-4536-8AC2-5A7E46800BB9). Bilan 2023 : Total actif 4 592 934€ — Capitaux propres 1 023 432€ (cap social 18 334€ + reserves 44 300€ + RN 960 797€) — Dettes 3 569 503€. ALFRED HOTELS mention label Clef Verte ecolabel tourisme durable. Vision : redonner trajectoire perenne au reseau 80 auberges — modernisation mesuree et respectueuse — preservation valeurs fondatrices accessibilite mixite sociale ouverture internationale education citoyennete. Annexes : Kbis (RCS Paris 822 424 339 — 09/04/2026 — sigle BRAXTON AM — enseigne BAM) + comptes annuels 2 derniers exercices. Capital social 19 828€ — date immatriculation 20/11/2018 (transfert depuis RCS Nanterre — origine 09/09/2016)."
63-10,63,63_Association_FEDERATION_UNIE_DES_AUBERGES_DE_JEUNES_offre10.pdf,ATTENTIFIMMO,SARL,10000,812762268,"26 rue de la Victoire, 75009 Paris",Clement Baptiste PITTON (gerant — ne 05/01/1984 a Bordeaux),"Groupe ATTENTIFIMMO (~50 collaborateurs / 15M€ CA consolide 2025 / ~3000 logements geres en France) — filiales : ATTENTIF LMNP (revente lots residences services) + GERANCE DE FRANCE (1000 logements Ile-de-France/Bordeaux/Lyon) + LOKORA EXPLOITATION (21 sites 3000 logements residences services sous bail commercial) + societes foncieres. Detention 100% Clement PITTON (28% pleine propriete + 72% usufruit — nue-propriete a parts egales aux 3 enfants 24% chacun)",Offre de reprise en plan de cession,2026-04-10,"Faculte de substitution au profit de filiales detenues directement ou indirectement (exploitation sous marque LOKORA / residences services)",3000,3,291,0,"Offre divisible et dissociable sur 3 sites (1000€ chacun) : (1) 24 rue de la Chapelle a BEAULIEU SUR DORDOGNE ; (2) 1 allee Roger Tagault et 17 rue de la Jeunesse a POITIERS ; (3) lieudit 'CHOUCAN' a PAIMPONT. Pour chaque site : actifs immobiliers 900€ + actifs mobiliers corporels 97€ + actifs incorporels 1€ + en cours de production 1€ + stocks 1€ = 1000€ par site. Licence d'utilisation marque FUAJ pour 6 mois a 1€ symbolique pour transition exploitation","Tous passifs FUAJ et filiales (au bilan ou hors bilan) — titres de participation FUAJ — contrats non mentionnes — contrats d'assurance/fourniture telecom — contrats de location financiere (a confirmer)","(1) Conclusion satisfaisante des travaux de diligence et verifications complementaires data room ; (2) Garantie de reprendre actifs libres de toutes suretes/privileges/droits tiers/droits retention/saisies/hypotheques/nantissements/gages/clauses reserve propriete ; (3) Possibilite de realiser visites des sites",100% fonds propres ATTENTIFIMMO + filiales,15000000,,,,,Au jour du jugement plan de cession,Non mentionne (sans avocat — acte par redacteur AJ),"Prix ventile par site : 1000€/site x 3 = 3000€ total hors stocks (stocks 3€ separes). Aucun salarie repris (pas de salarie attache aux sites vises). Date entree jouissance : 15 jours apres jugement au plus tard. Marque LOKORA : un des dix premiers exploitants residences etudiantes / 21 sites 3000 logements bail commercial / amelioration moyenne +10% du CA vs anciens exploitants. Repreneur excluant explicitement tous titres de participation, contrats assurance/telecom. Reprise droits acquis salaries depuis ouverture procedure (mais aucun salarie attache). Garantie : virement compte AJ. Attestation L.642-3 : aucun lien parente/alliance dirigeants FUAJ. Etat d'endettement Infogreffe 09/04/2026 : NEANT toutes categories (saisies, warrants, nantissements, privileges, declarations creances, credit-bail, locations, clauses reserve propriete) — historique 18 categories vide. Annexes : Synthese offre, Kbis ATTENTIFIMMO (812 762 268 — date immatriculation 18/11/2016 — transfert RCS Nanterre 14/10/2016 — date immat origine 28/07/2015), statuts, passeport Clement PITTON, performances financieres SARL ATTENTIFIMMO + filiales, attestations honneur. Bras arme immobilier (societes foncieres) pour valoriser actifs. Projet de valorisation sites non exploites."
